stats_o/mean,test/mean_Q,stats_g/std,test/success_rate,epoch,stats_o/std,test/episode,train/success_rate,stats_g/mean,train/episode
0.20134008,-1.4333818,0.068150185,0.9,95,0.08663507,1920.0,0.93,0.8376958,9600.0
0.20132807,-2.0316267,0.06804786,0.95,96,0.08659837,1940.0,0.96,0.83770543,9700.0
0.2013477,-2.5420341,0.06805477,0.9,97,0.086646885,1960.0,0.93,0.8377309,9800.0
0.20137566,-1.6582384,0.06799965,1.0,98,0.08674653,1980.0,0.92,0.83775353,9900.0
0.2014041,-1.0943217,0.06793883,1.0,99,0.08687472,2000.0,0.96,0.8377776,10000.0
0.20140578,-2.1429682,0.06785547,0.85,100,0.08691535,2020.0,0.98,0.83781856,10100.0
0.20139746,-1.4358137,0.06781652,1.0,101,0.086885884,2040.0,0.9,0.8377835,10200.0
0.2014271,-1.4454397,0.06772113,1.0,102,0.08696454,2060.0,0.96,0.8378044,10300.0
0.20142478,-2.0013416,0.06767322,0.95,103,0.08706327,2080.0,0.96,0.837864,10400.0
0.20142706,-1.7231896,0.06762882,1.0,104,0.08708348,2100.0,0.95,0.8379162,10500.0
0.2014752,-1.6082716,0.067643724,0.95,105,0.08725002,2120.0,0.92,0.83793265,10600.0
0.20151207,-1.2169325,0.067633964,1.0,106,0.087376565,2140.0,0.96,0.83791167,10700.0
0.20158929,-1.4848324,0.067650974,1.0,107,0.08769763,2160.0,0.93,0.8379328,10800.0
0.20158714,-1.3451235,0.067585796,1.0,108,0.08776454,2180.0,0.97,0.83788663,10900.0
0.20162591,-1.7431027,0.067522705,0.95,109,0.08771924,2200.0,0.98,0.83792335,11000.0
0.20163892,-1.3949617,0.06755334,1.0,110,0.088040955,2220.0,0.93,0.83794683,11100.0
0.20164801,-1.3878746,0.067496955,1.0,111,0.088082835,2240.0,0.88,0.8379803,11200.0
0.20163582,-1.3467312,0.06743943,0.9,112,0.08804866,2260.0,0.95,0.83798623,11300.0
0.20162557,-1.2150495,0.06739447,1.0,113,0.08812652,2280.0,0.95,0.8379306,11400.0
0.20164716,-1.4547013,0.0673379,1.0,114,0.08818634,2300.0,0.99,0.837941,11500.0
0.2016877,-1.3366683,0.067267746,1.0,115,0.08824834,2320.0,0.97,0.8379622,11600.0
0.20169647,-1.0197153,0.06722571,1.0,116,0.0884159,2340.0,0.95,0.83793926,11700.0
0.2016896,-1.1549387,0.067180194,1.0,117,0.088559,2360.0,0.95,0.8378988,11800.0
0.20170061,-1.3712182,0.06711974,1.0,118,0.08867423,2380.0,0.96,0.8378797,11900.0
0.20173883,-1.057729,0.06708023,1.0,119,0.08865296,2400.0,0.95,0.8378733,12000.0
0.20171548,-1.3975761,0.06701092,1.0,120,0.0887984,2420.0,0.94,0.837867,12100.0
0.20176814,-1.0794451,0.06693324,1.0,121,0.08888013,2440.0,0.98,0.83786374,12200.0
0.20176715,-1.1583452,0.06690836,1.0,122,0.08895211,2460.0,0.94,0.8378779,12300.0
0.20177887,-1.4059665,0.0668706,1.0,123,0.08908698,2480.0,0.95,0.837936,12400.0
0.20181522,-1.1219529,0.066876836,1.0,124,0.08928043,2500.0,0.94,0.83794975,12500.0
0.20183109,-1.0736217,0.06681093,1.0,125,0.089532465,2520.0,0.96,0.8379262,12600.0
