test/episode,stats_g/std,stats_o/std,stats_o/mean,epoch,test/success_rate,train/episode,test/mean_Q,stats_g/mean,train/success_rate
1280.0,0.085288346,0.0305552,0.2633292,63,1.0,1280.0,-0.043340106,0.8772066,0.8
1300.0,0.08533088,0.030571377,0.2632954,64,1.0,1300.0,-0.05173893,0.8770919,0.65
1320.0,0.08521273,0.030531595,0.2632786,65,1.0,1320.0,-0.050263524,0.8770296,0.75
1340.0,0.085157454,0.030513853,0.26324654,66,1.0,1340.0,-0.024972755,0.876909,0.65
1360.0,0.08523361,0.03053979,0.2632134,67,1.0,1360.0,-0.064788565,0.87675047,0.9
1380.0,0.085119225,0.030520339,0.2631297,68,1.0,1380.0,-0.060050238,0.87644476,0.7
1400.0,0.08512155,0.030523742,0.26313016,69,1.0,1400.0,-0.02347539,0.87646645,0.75
1420.0,0.08517611,0.030537004,0.263093,70,1.0,1420.0,-0.07657904,0.8762956,0.65
1440.0,0.08518457,0.030539462,0.26311618,71,1.0,1440.0,-0.086799756,0.8763954,0.7
1460.0,0.08518074,0.030538753,0.2631224,72,1.0,1460.0,-0.044976924,0.87643933,0.6
1480.0,0.08521544,0.030550545,0.2631201,73,1.0,1480.0,-0.06384861,0.87641436,0.75
1500.0,0.08512475,0.030531099,0.26313215,74,1.0,1500.0,-0.04878618,0.8764608,0.75
1520.0,0.085173555,0.030548627,0.263214,75,1.0,1520.0,-0.063645616,0.87678766,0.7
1540.0,0.08525213,0.0305722,0.26319486,76,1.0,1540.0,-0.078159675,0.87670726,0.8
1560.0,0.08530866,0.03060038,0.26321128,77,1.0,1560.0,-0.050204318,0.8767839,0.65
1580.0,0.08539086,0.03061297,0.26320928,78,1.0,1580.0,-0.07430906,0.8767554,0.7
1600.0,0.08538795,0.030619347,0.2632475,79,1.0,1600.0,-0.027365318,0.8768844,0.75
1620.0,0.08533224,0.030596022,0.2632025,80,1.0,1620.0,-0.049963765,0.8767198,0.65
1640.0,0.085355945,0.030604457,0.26316178,81,1.0,1640.0,-0.081695735,0.876571,0.85
1660.0,0.08533236,0.030594304,0.2631099,82,1.0,1660.0,-0.032643072,0.8763716,0.9
1680.0,0.085323475,0.030596692,0.2630916,83,1.0,1680.0,-0.086554796,0.876293,0.85
1700.0,0.08520105,0.030566117,0.26304302,84,1.0,1700.0,-0.04849891,0.87611717,0.8
1720.0,0.08528007,0.030592505,0.26304296,85,1.0,1720.0,-0.06588717,0.8761123,0.65
1740.0,0.08537198,0.030611092,0.26301578,86,1.0,1740.0,-0.0814493,0.8760056,0.55
1760.0,0.085468255,0.030638581,0.26306945,87,1.0,1760.0,-0.048647627,0.8761818,0.7
1780.0,0.08541077,0.030621815,0.26308003,88,1.0,1780.0,-0.030440608,0.87619096,0.85
1800.0,0.08541769,0.030626114,0.26305372,89,1.0,1800.0,-0.056299854,0.8760929,0.7
1820.0,0.08540604,0.030620525,0.26305145,90,1.0,1820.0,-0.04480975,0.8760743,0.8
1840.0,0.08541987,0.030628506,0.26305264,91,1.0,1840.0,-0.06695731,0.8760602,0.7
1860.0,0.08546152,0.030640762,0.26303127,92,1.0,1860.0,-0.07962172,0.875967,0.8
1880.0,0.08540809,0.030626466,0.2629841,93,1.0,1880.0,-0.055619024,0.8757598,0.85
1900.0,0.08542043,0.030619819,0.26297897,94,1.0,1900.0,-0.033178244,0.87576723,0.8
1920.0,0.08541415,0.030610913,0.2629488,95,1.0,1920.0,-0.0742686,0.87565655,0.65
1940.0,0.085467815,0.030625258,0.26298296,96,1.0,1940.0,-0.089591935,0.8758004,0.8
1960.0,0.085468926,0.030629795,0.26298723,97,1.0,1960.0,-0.0680009,0.87582666,0.65
1980.0,0.085451014,0.030628402,0.26291686,98,1.0,1980.0,-0.047610383,0.875556,0.9
2000.0,0.08553205,0.030650098,0.26294923,99,1.0,2000.0,-0.05694719,0.87568265,0.6
2020.0,0.08546034,0.030631136,0.26294476,100,1.0,2020.0,-0.052406013,0.87567306,0.75
2040.0,0.085437424,0.03061964,0.2629439,101,1.0,2040.0,-0.03827921,0.87567586,0.9
2060.0,0.085489415,0.030635605,0.26296794,102,1.0,2060.0,-0.08791999,0.87578386,0.95
2080.0,0.08545583,0.030627063,0.2630024,103,1.0,2080.0,-0.048822034,0.8759131,0.55
2100.0,0.08543271,0.030616049,0.26295438,104,1.0,2100.0,-0.021698732,0.87572,0.7
2120.0,0.08536047,0.03059731,0.2629686,105,1.0,2120.0,-0.051660806,0.8758125,0.9
2140.0,0.085309096,0.030581847,0.26294845,106,1.0,2140.0,-0.07910658,0.8757376,0.9
2160.0,0.08527804,0.030569222,0.26289895,107,1.0,2160.0,-0.06955142,0.87555593,0.7
2180.0,0.0852421,0.030562457,0.26288423,108,1.0,2180.0,-0.08055369,0.87549084,0.7
2200.0,0.085261606,0.0305713,0.26286414,109,1.0,2200.0,-0.047396887,0.8754029,0.6
2220.0,0.085225545,0.03055771,0.26288277,110,1.0,2220.0,-0.041918054,0.8754952,0.75
2240.0,0.08520188,0.030552838,0.26287892,111,1.0,2240.0,-0.06763028,0.87547654,0.85
2260.0,0.08522141,0.03055484,0.26285896,112,1.0,2260.0,-0.0753655,0.87540317,0.6
2280.0,0.08520935,0.030554473,0.2628469,113,1.0,2280.0,-0.03925613,0.87537307,0.65
2300.0,0.08514125,0.030538574,0.26281664,114,1.0,2300.0,-0.032386597,0.8752694,0.7
2320.0,0.08514583,0.03053838,0.262821,115,1.0,2320.0,-0.057741385,0.87527996,0.7
2340.0,0.08510184,0.030523807,0.26282495,116,1.0,2340.0,-0.060856998,0.8752837,0.75
