stats_g/std,train/success_rate,train/episode,test/success_rate,test/episode,stats_o/mean,stats_g/mean,test/mean_Q,stats_o/std,epoch
0.069270216,0.56,6400.0,0.35,1280.0,0.20048653,0.83554435,-10.544683,0.08422418,63
0.0691453,0.45,6500.0,0.5,1300.0,0.20043461,0.8355343,-11.509064,0.08474405,64
0.06924937,0.5,6600.0,0.6,1320.0,0.20045711,0.83552057,-9.098197,0.085331105,65
0.06922469,0.59,6700.0,0.55,1340.0,0.20035215,0.8354867,-9.372163,0.085989505,66
0.06911995,0.62,6800.0,0.75,1360.0,0.20033121,0.835519,-5.369606,0.0864615,67
0.068983704,0.63,6900.0,0.6,1380.0,0.20033318,0.8355587,-8.84837,0.086868994,68
0.06895287,0.72,7000.0,0.7,1400.0,0.20031574,0.8356239,-5.43213,0.087469965,69
0.068859845,0.63,7100.0,0.75,1420.0,0.200394,0.8356147,-6.1920958,0.088013336,70
0.068817146,0.74,7200.0,0.65,1440.0,0.20033659,0.8356393,-5.2692413,0.08837457,71
0.068701975,0.78,7300.0,0.7,1460.0,0.2003094,0.8356905,-5.238229,0.0884986,72
0.06864848,0.75,7400.0,0.85,1480.0,0.20028967,0.8357175,-4.1821036,0.08872823,73
0.06862877,0.72,7500.0,0.7,1500.0,0.20033392,0.8357274,-5.1994295,0.089158066,74
0.06864336,0.72,7600.0,0.85,1520.0,0.20032132,0.83573,-3.8487988,0.08947243,75
0.0688278,0.8,7700.0,0.7,1540.0,0.20023754,0.8357459,-6.0659504,0.08988231,76
0.06874097,0.84,7800.0,0.95,1560.0,0.20025253,0.8358008,-3.69612,0.08999529,77
0.068730585,0.83,7900.0,0.8,1580.0,0.20022605,0.8359044,-4.752904,0.090210825,78
0.06863534,0.77,8000.0,0.85,1600.0,0.20020515,0.8359092,-3.5889735,0.09062764,79
0.06866813,0.82,8100.0,1.0,1620.0,0.20017368,0.83594614,-2.1426425,0.09120686,80
0.06855817,0.88,8200.0,0.9,1640.0,0.2001445,0.83598834,-3.6231494,0.0913881,81
