test/success_rate,train/success_rate,stats_o/mean,train/episode,stats_g/mean,test/episode,test/mean_Q,stats_g/std,epoch,stats_o/std
0.05,0.14,0.20124522,6400.0,0.83740455,1280.0,-24.902668,0.07774498,63,0.07090977
0.1,0.16,0.20127822,6500.0,0.837399,1300.0,-23.062542,0.077622764,64,0.07111508
0.05,0.09,0.20128864,6600.0,0.83741784,1320.0,-20.27557,0.07764405,65,0.07122923
0.1,0.15,0.20123442,6700.0,0.8373068,1340.0,-25.215767,0.07753839,66,0.07150753
0.05,0.15,0.20126164,6800.0,0.8373036,1360.0,-19.43626,0.0774207,67,0.07179697
0.3,0.19,0.20129174,6900.0,0.8372417,1380.0,-20.562597,0.07739856,68,0.07211538
0.05,0.19,0.20128609,7000.0,0.8371962,1400.0,-24.769627,0.07739151,69,0.07241785
0.15,0.19,0.20127542,7100.0,0.8371144,1420.0,-26.3585,0.077332266,70,0.07269188
0.1,0.24,0.20128007,7200.0,0.8371017,1440.0,-19.279968,0.07721745,71,0.07305639
0.2,0.33,0.20132698,7300.0,0.8371048,1460.0,-16.834103,0.07718149,72,0.073337175
0.15,0.19,0.20133387,7400.0,0.8371238,1480.0,-20.350445,0.07718339,73,0.07414461
0.15,0.12,0.20132813,7500.0,0.8369982,1500.0,-22.116201,0.07712239,74,0.07467273
0.4,0.2,0.20133802,7600.0,0.8370466,1520.0,-13.672083,0.07709909,75,0.07540755
0.35,0.24,0.20130421,7700.0,0.8369238,1540.0,-20.071392,0.07713991,76,0.07618358
0.45,0.23,0.20128666,7800.0,0.83684754,1560.0,-16.788433,0.07755121,77,0.076775745
0.15,0.3,0.20132637,7900.0,0.836889,1580.0,-16.35017,0.07759987,78,0.07746407
0.15,0.29,0.20128836,8000.0,0.8368316,1600.0,-15.435842,0.07745698,79,0.07764807
0.3,0.23,0.20123917,8100.0,0.8367069,1620.0,-14.345648,0.077322714,80,0.07787946
0.35,0.32,0.20123787,8200.0,0.8366029,1640.0,-14.061523,0.07728043,81,0.07844014
0.25,0.24,0.20121779,8300.0,0.8365398,1660.0,-23.106781,0.07737909,82,0.07877936
0.35,0.23,0.20112297,8400.0,0.83649415,1680.0,-14.280214,0.07729856,83,0.07938953
0.3,0.38,0.20104533,8500.0,0.8364008,1700.0,-14.717188,0.07742706,84,0.080026865
0.4,0.25,0.20105015,8600.0,0.8363325,1720.0,-14.880758,0.07732816,85,0.080385014
0.4,0.43,0.20102915,8700.0,0.8362611,1740.0,-11.193087,0.07722067,86,0.08070966
0.4,0.33,0.20102519,8800.0,0.8361775,1760.0,-12.031984,0.07733583,87,0.0812211
0.6,0.4,0.20103319,8900.0,0.8361702,1780.0,-9.817199,0.07724167,88,0.0815383
0.45,0.35,0.20104103,9000.0,0.83613944,1800.0,-9.94473,0.077134825,89,0.08198388
0.4,0.36,0.20097226,9100.0,0.83601993,1820.0,-13.767624,0.07706734,90,0.082364455
0.55,0.38,0.20099095,9200.0,0.8359701,1840.0,-13.243587,0.07701191,91,0.08294473
0.55,0.36,0.2009821,9300.0,0.8359162,1860.0,-7.574872,0.07719046,92,0.08352634
0.3,0.45,0.20092346,9400.0,0.8358175,1880.0,-12.654371,0.07710386,93,0.083751224
0.55,0.45,0.20094009,9500.0,0.8356926,1900.0,-10.906193,0.07713481,94,0.08402558
0.55,0.52,0.20098856,9600.0,0.8355854,1920.0,-11.872178,0.0771228,95,0.0843818
0.65,0.46,0.20101386,9700.0,0.8355153,1940.0,-12.368475,0.07715981,96,0.08508562
0.55,0.5,0.20102651,9800.0,0.83549863,1960.0,-9.942194,0.07726494,97,0.085530646
0.65,0.47,0.20099995,9900.0,0.83548117,1980.0,-9.294962,0.077274084,98,0.08593123
0.7,0.47,0.2010117,10000.0,0.8355021,2000.0,-8.853403,0.077384576,99,0.08671205
0.6,0.43,0.20103882,10100.0,0.83554643,2020.0,-7.31,0.077383555,100,0.087237805
0.45,0.58,0.20104913,10200.0,0.83550453,2040.0,-12.127357,0.07731158,101,0.087931186
0.55,0.48,0.20100385,10300.0,0.83548146,2060.0,-11.284113,0.07728758,102,0.08848569
0.5,0.58,0.2010261,10400.0,0.8354902,2080.0,-7.720758,0.07727652,103,0.089040235
0.45,0.58,0.2010259,10500.0,0.8354872,2100.0,-8.906938,0.0772342,104,0.08952119
0.75,0.6,0.200954,10600.0,0.83546406,2120.0,-5.670288,0.07714892,105,0.089963734
0.65,0.59,0.20090757,10700.0,0.83540255,2140.0,-5.160675,0.077323474,106,0.09052017
0.6,0.55,0.20089525,10800.0,0.83537465,2160.0,-8.032198,0.07756702,107,0.09117482
0.9,0.6,0.20087895,10900.0,0.83531547,2180.0,-4.8433948,0.077584594,108,0.09169793
0.7,0.61,0.20092921,11000.0,0.83534366,2200.0,-6.701262,0.0775476,109,0.0922408
0.8,0.62,0.20095877,11100.0,0.8353987,2220.0,-4.444014,0.07746746,110,0.09282021
0.7,0.7,0.2009287,11200.0,0.8354225,2240.0,-5.75861,0.077465095,111,0.093295194
0.85,0.66,0.20092161,11300.0,0.83544415,2260.0,-3.3253205,0.077451,112,0.09383691
0.65,0.6,0.20091808,11400.0,0.83538467,2280.0,-3.790378,0.07741332,113,0.09435779
0.85,0.69,0.2008697,11500.0,0.83541197,2300.0,-4.8584986,0.07743857,114,0.09475347
0.65,0.69,0.20091204,11600.0,0.83544564,2320.0,-5.1691017,0.07742231,115,0.094955
0.95,0.66,0.20089251,11700.0,0.8354054,2340.0,-3.6634116,0.0775205,116,0.09540267
0.75,0.81,0.20091948,11800.0,0.8353514,2360.0,-3.6728497,0.077436924,117,0.09596811
0.75,0.72,0.20094755,11900.0,0.83529973,2380.0,-5.886573,0.07749931,118,0.09632903
0.9,0.75,0.2009722,12000.0,0.8353059,2400.0,-2.81292,0.077677585,119,0.09679774
0.75,0.76,0.20099024,12100.0,0.83530015,2420.0,-4.933874,0.07776619,120,0.09709757
0.85,0.76,0.20104975,12200.0,0.835301,2440.0,-2.448944,0.07770211,121,0.09744996
0.9,0.77,0.20109035,12300.0,0.8352899,2460.0,-3.021452,0.07795881,122,0.09785178
0.8,0.86,0.20115194,12400.0,0.8353886,2480.0,-3.4831054,0.07790399,123,0.09818677
1.0,0.77,0.20118047,12500.0,0.8354147,2500.0,-2.2361655,0.077996105,124,0.09858289
0.85,0.78,0.20120087,12600.0,0.8354142,2520.0,-2.8309116,0.07794487,125,0.09899595
0.8,0.87,0.20123406,12700.0,0.83542514,2540.0,-4.8412085,0.07790095,126,0.0992562
0.85,0.85,0.20125097,12800.0,0.8354266,2560.0,-3.4791942,0.07781085,127,0.09949854
0.95,0.85,0.20123026,12900.0,0.83545536,2580.0,-2.6618621,0.07776719,128,0.09967367
1.0,0.82,0.20123951,13000.0,0.8354659,2600.0,-1.8888066,0.07769098,129,0.09991683
0.95,0.76,0.20124999,13100.0,0.8354895,2620.0,-3.0548038,0.0777918,130,0.10013166
0.9,0.88,0.20125128,13200.0,0.83547956,2640.0,-2.1375031,0.07770423,131,0.1003526
0.95,0.88,0.20126297,13300.0,0.83547854,2660.0,-2.167519,0.07765888,132,0.100471765
0.95,0.86,0.20123665,13400.0,0.8355086,2680.0,-2.4165561,0.07774935,133,0.10070025
1.0,0.82,0.20127808,13500.0,0.8355145,2700.0,-1.6491247,0.07775848,134,0.100871995
0.8,0.84,0.20129924,13600.0,0.83551866,2720.0,-3.247127,0.07776838,135,0.101058014
1.0,0.92,0.201344,13700.0,0.835567,2740.0,-1.8476341,0.077686824,136,0.101393804
1.0,0.9,0.20133612,13800.0,0.83561563,2760.0,-1.3483565,0.07765197,137,0.10153732
0.95,0.86,0.20131357,13900.0,0.8356638,2780.0,-2.049952,0.07756792,138,0.10181862
0.9,0.92,0.20132996,14000.0,0.83568335,2800.0,-2.7564487,0.077543356,139,0.10203541
1.0,0.88,0.20131718,14100.0,0.8357062,2820.0,-2.035091,0.07745209,140,0.10229166
0.95,0.91,0.20132221,14200.0,0.83570546,2840.0,-2.9456553,0.07743612,141,0.10254231
0.95,0.85,0.20133361,14300.0,0.83570856,2860.0,-2.567762,0.077365234,142,0.10266087
0.95,0.9,0.20134045,14400.0,0.8356971,2880.0,-1.7208294,0.07737239,143,0.102872975
0.95,0.85,0.20132677,14500.0,0.83566207,2900.0,-1.8256562,0.07742529,144,0.10319215
0.95,0.9,0.20132726,14600.0,0.83566284,2920.0,-2.6391706,0.0773605,145,0.10339417
1.0,0.88,0.20131502,14700.0,0.8356781,2940.0,-1.9351505,0.077362865,146,0.103659905
1.0,0.89,0.20134978,14800.0,0.83572286,2960.0,-1.7333599,0.077287056,147,0.10383735
0.9,0.9,0.20129654,14900.0,0.83572745,2980.0,-2.5802813,0.077252455,148,0.10406282
1.0,0.85,0.20131756,15000.0,0.835742,3000.0,-1.7761333,0.0772053,149,0.104323775
1.0,0.93,0.20129758,15100.0,0.8357434,3020.0,-1.9837306,0.0771128,150,0.10457778
0.9,0.87,0.20129,15200.0,0.8357995,3040.0,-4.2139444,0.0770405,151,0.10479192
1.0,0.88,0.20128599,15300.0,0.83579665,3060.0,-1.4518408,0.07704173,152,0.10507005
0.95,0.87,0.20128618,15400.0,0.8357899,3080.0,-1.8510921,0.076992385,153,0.10528712
0.95,0.87,0.20127323,15500.0,0.835804,3100.0,-2.4755332,0.07695041,154,0.10544868
1.0,0.9,0.2012854,15600.0,0.8358477,3120.0,-1.3642471,0.076876186,155,0.10563027
1.0,0.96,0.20127964,15700.0,0.8358374,3140.0,-2.0234327,0.07680393,156,0.10575928
1.0,0.92,0.20129141,15800.0,0.83583766,3160.0,-1.6798519,0.076805696,157,0.10597539
1.0,0.93,0.20128107,15900.0,0.8358299,3180.0,-1.4744625,0.076765984,158,0.106082566
1.0,0.96,0.20124982,16000.0,0.8358522,3200.0,-2.0318553,0.076684825,159,0.106110334
0.9,0.95,0.20126157,16100.0,0.83587235,3220.0,-1.9504616,0.07663443,160,0.10619851
1.0,0.91,0.20124748,16200.0,0.83589435,3240.0,-1.1705538,0.076636665,161,0.106393345
0.95,0.92,0.20121068,16300.0,0.835896,3260.0,-1.3100715,0.076675035,162,0.106689245
1.0,0.85,0.20120226,16400.0,0.8358798,3280.0,-1.1471906,0.07665192,163,0.10686198
1.0,0.94,0.20116962,16500.0,0.835905,3300.0,-1.2577693,0.07662317,164,0.10698442
1.0,0.91,0.2011879,16600.0,0.83593583,3320.0,-1.2685423,0.07657949,165,0.1071457
1.0,0.89,0.20118496,16700.0,0.83593804,3340.0,-1.3640444,0.07654937,166,0.1073586
1.0,0.91,0.20119828,16800.0,0.83601385,3360.0,-1.6812483,0.07649317,167,0.10751
1.0,0.91,0.20117073,16900.0,0.8360174,3380.0,-1.6259983,0.07647496,168,0.10767272
1.0,0.91,0.20119423,17000.0,0.8360284,3400.0,-1.4874243,0.07651042,169,0.10784935
1.0,0.89,0.20119333,17100.0,0.8360103,3420.0,-1.4119164,0.076454155,170,0.10802846
1.0,0.91,0.20120375,17200.0,0.83606094,3440.0,-1.4053115,0.076436654,171,0.1081481
1.0,0.91,0.2011956,17300.0,0.8360455,3460.0,-1.5073181,0.07636439,172,0.10834908
1.0,0.95,0.20120627,17400.0,0.836054,3480.0,-1.1345973,0.07633775,173,0.10844584
0.95,0.88,0.201201,17500.0,0.83607966,3500.0,-2.1041188,0.076294236,174,0.10862916
1.0,0.91,0.20116152,17600.0,0.8360841,3520.0,-1.3033389,0.07633846,175,0.10880365
0.95,0.94,0.20115186,17700.0,0.8361638,3540.0,-2.1149445,0.076266766,176,0.10882174
1.0,0.95,0.20113082,17800.0,0.83616734,3560.0,-1.3982712,0.07621169,177,0.10889425
1.0,0.95,0.20114782,17900.0,0.8361859,3580.0,-1.7881832,0.07619958,178,0.109072
1.0,0.94,0.20114535,18000.0,0.8361779,3600.0,-1.6258084,0.07613846,179,0.10919406
1.0,0.92,0.20119447,18100.0,0.83617944,3620.0,-1.2687776,0.07615139,180,0.10932801
1.0,0.94,0.20122223,18200.0,0.83617955,3640.0,-1.137899,0.0761319,181,0.10940975
1.0,0.93,0.20119992,18300.0,0.836159,3660.0,-1.8055989,0.07605513,182,0.109465435
1.0,0.94,0.20120943,18400.0,0.8362224,3680.0,-1.0389335,0.07599098,183,0.1095601
