train/success_rate,stats_g/std,test/success_rate,stats_o/std,test/episode,stats_g/mean,test/mean_Q,stats_o/mean,train/episode,epoch
0.86,0.069190696,0.9,0.085952014,1280.0,0.8373247,-2.188051,0.20073107,6400.0,63
0.85,0.069100745,1.0,0.08640559,1300.0,0.837334,-1.743685,0.20079476,6500.0,64
0.87,0.06905274,1.0,0.08673171,1320.0,0.8373572,-1.8288196,0.2007735,6600.0,65
0.86,0.069197245,1.0,0.08703125,1340.0,0.8373646,-1.4415939,0.20075911,6700.0,66
0.88,0.06910949,0.9,0.08716311,1360.0,0.8373739,-3.6343055,0.20076092,6800.0,67
0.93,0.06904876,0.95,0.0877456,1380.0,0.8374103,-2.4120383,0.2007532,6900.0,68
0.83,0.06900654,1.0,0.08783358,1400.0,0.8374621,-1.9758351,0.20080782,7000.0,69
0.89,0.06895507,0.95,0.088242255,1420.0,0.8374963,-1.9670681,0.20081738,7100.0,70
0.89,0.06889208,0.9,0.08857146,1440.0,0.8375214,-1.8341748,0.2008868,7200.0,71
0.87,0.068795286,1.0,0.08872305,1460.0,0.8375838,-1.8653023,0.20099135,7300.0,72
0.94,0.06868749,1.0,0.088927746,1480.0,0.8376246,-1.5781157,0.20097214,7400.0,73
0.91,0.06869636,0.95,0.08917297,1500.0,0.83763766,-1.9306593,0.20097719,7500.0,74
0.92,0.068790026,1.0,0.08964143,1520.0,0.8376241,-1.1289024,0.20098966,7600.0,75
0.92,0.06883029,0.95,0.089926764,1540.0,0.8376422,-1.9105936,0.20097737,7700.0,76
0.91,0.06874377,1.0,0.09008916,1560.0,0.83768624,-1.9471114,0.20095564,7800.0,77
0.95,0.068660446,1.0,0.0903543,1580.0,0.8377593,-1.8895471,0.20096867,7900.0,78
0.95,0.0685428,1.0,0.09049398,1600.0,0.83777833,-1.2246143,0.20100436,8000.0,79
0.94,0.06859877,0.95,0.0906635,1620.0,0.83779,-1.3864244,0.2009599,8100.0,80
0.96,0.06848892,0.95,0.09076877,1640.0,0.8378196,-1.6408701,0.20101368,8200.0,81
0.89,0.06849412,1.0,0.09097682,1660.0,0.8378553,-1.894296,0.20092338,8300.0,82
0.94,0.06842201,1.0,0.09113464,1680.0,0.83792883,-1.4795274,0.20087658,8400.0,83
0.95,0.06834056,1.0,0.09129222,1700.0,0.83798695,-1.3137006,0.20093831,8500.0,84
0.94,0.068329155,1.0,0.0915278,1720.0,0.838031,-1.3808982,0.20092325,8600.0,85
0.95,0.068268046,1.0,0.09174322,1740.0,0.83805174,-1.0682113,0.20093209,8700.0,86
0.92,0.068286076,1.0,0.091945104,1760.0,0.83809525,-1.7100645,0.2009558,8800.0,87
0.94,0.06824067,1.0,0.092056915,1780.0,0.8381304,-1.1113665,0.20103419,8900.0,88
0.98,0.068146095,1.0,0.09215528,1800.0,0.8381453,-1.2208192,0.20103079,9000.0,89
0.93,0.06813324,0.9,0.092335574,1820.0,0.8381675,-3.0947807,0.2010146,9100.0,90
0.95,0.06804026,1.0,0.09244501,1840.0,0.8381842,-1.3651884,0.2010347,9200.0,91
0.96,0.06796712,1.0,0.09259548,1860.0,0.8382225,-1.3041403,0.20111085,9300.0,92
0.9,0.068007,1.0,0.092669144,1880.0,0.8382384,-1.272467,0.20106515,9400.0,93
0.93,0.06801579,1.0,0.092767134,1900.0,0.83820397,-1.1939186,0.2010674,9500.0,94
0.92,0.06797566,1.0,0.0928565,1920.0,0.83818716,-1.078656,0.20111464,9600.0,95
0.93,0.067921914,1.0,0.09296666,1940.0,0.8382156,-1.6727858,0.20117189,9700.0,96
0.95,0.067880124,1.0,0.09296352,1960.0,0.8382377,-1.5849369,0.20119645,9800.0,97
0.96,0.0678264,1.0,0.09303117,1980.0,0.8382821,-1.2315592,0.20125176,9900.0,98
0.92,0.06780178,1.0,0.093123496,2000.0,0.8382942,-1.1325865,0.20129181,10000.0,99
