train/success_rate,stats_g/std,test/success_rate,stats_o/std,test/episode,stats_g/mean,test/mean_Q,stats_o/mean,train/episode,epoch
0.96,0.06563647,1.0,0.101173036,5320.0,0.83862686,-1.0325631,0.20181385,26600.0,265
0.98,0.065605186,1.0,0.10123084,5340.0,0.8386162,-1.1351664,0.20183353,26700.0,266
0.95,0.06564109,1.0,0.10124915,5360.0,0.83861256,-0.98169184,0.20180722,26800.0,267
0.97,0.06564074,1.0,0.101266,5380.0,0.838629,-1.1868267,0.20182398,26900.0,268
0.96,0.06563917,1.0,0.101306714,5400.0,0.83862466,-1.1171911,0.20182166,27000.0,269
0.94,0.0656145,1.0,0.101314455,5420.0,0.8386211,-1.252032,0.20180517,27100.0,270
0.93,0.06558556,0.95,0.101312466,5440.0,0.8386195,-2.4422872,0.20181051,27200.0,271
0.96,0.06557294,1.0,0.10133156,5460.0,0.83864665,-1.308666,0.20180702,27300.0,272
0.95,0.06557501,1.0,0.101367004,5480.0,0.83864784,-1.0906583,0.20180832,27400.0,273
0.92,0.06555716,1.0,0.101409025,5500.0,0.8386511,-0.81288326,0.20182073,27500.0,274
0.97,0.06554999,0.95,0.10141564,5520.0,0.8386708,-1.064035,0.20181423,27600.0,275
0.97,0.06551989,1.0,0.10142988,5540.0,0.83868694,-1.0232378,0.20179817,27700.0,276
0.98,0.06550035,1.0,0.10142625,5560.0,0.83868843,-0.92210114,0.20179407,27800.0,277
0.95,0.06548189,1.0,0.101452254,5580.0,0.83868295,-0.89362824,0.20180048,27900.0,278
0.97,0.06546407,1.0,0.10149561,5600.0,0.83865625,-1.0845563,0.20181334,28000.0,279
0.93,0.065481044,1.0,0.10152677,5620.0,0.8386763,-1.1552479,0.20182575,28100.0,280
0.97,0.065496184,1.0,0.101504184,5640.0,0.8386619,-0.9868833,0.20181198,28200.0,281
0.95,0.06547742,1.0,0.10151535,5660.0,0.83867216,-1.0453318,0.20182453,28300.0,282
0.97,0.06545082,1.0,0.10149598,5680.0,0.8386839,-0.95487213,0.20182253,28400.0,283
0.9,0.06543818,1.0,0.10147975,5700.0,0.8386924,-1.0709474,0.2018366,28500.0,284
0.93,0.06541375,1.0,0.10149366,5720.0,0.8386815,-0.9237477,0.20182878,28600.0,285
0.99,0.06538486,1.0,0.10150346,5740.0,0.83867836,-1.1329998,0.20182206,28700.0,286
0.94,0.06538646,1.0,0.10151179,5760.0,0.83867043,-1.3242028,0.20180681,28800.0,287
0.99,0.065361716,1.0,0.10150259,5780.0,0.83866906,-0.9249984,0.20179696,28900.0,288
0.95,0.06534518,1.0,0.10151208,5800.0,0.83867294,-1.0331538,0.2017931,29000.0,289
0.98,0.065319605,1.0,0.101568416,5820.0,0.83870596,-1.2571841,0.20179792,29100.0,290
0.95,0.06533209,1.0,0.10156833,5840.0,0.8387308,-0.9926567,0.20181042,29200.0,291
0.97,0.06531342,1.0,0.10155341,5860.0,0.8387225,-1.0117117,0.2018051,29300.0,292
0.96,0.06528908,1.0,0.1015868,5880.0,0.8387348,-0.7258073,0.20181426,29400.0,293
0.94,0.06527746,1.0,0.10162704,5900.0,0.83874446,-1.0516578,0.20181835,29500.0,294
0.93,0.06526411,1.0,0.10163944,5920.0,0.8387439,-1.1227049,0.2018376,29600.0,295
0.95,0.065254614,1.0,0.10164986,5940.0,0.8387367,-1.2189159,0.20184338,29700.0,296
0.99,0.065232515,1.0,0.101670675,5960.0,0.83874255,-1.0931861,0.20186254,29800.0,297
0.94,0.06527332,1.0,0.10176969,5980.0,0.83874315,-1.1765612,0.20184737,29900.0,298
0.96,0.06525739,1.0,0.101768695,6000.0,0.83874035,-1.2127334,0.20184812,30000.0,299
