test/episode,train/success_rate,train/episode,stats_g/std,test/success_rate,test/mean_Q,stats_g/mean,epoch,stats_o/mean,stats_o/std
520.0,0.07,2600.0,0.09630821,0.1,-24.369694,0.8440788,25,0.2034903,0.07810913
540.0,0.1,2700.0,0.09698085,0.0,-23.924597,0.8442609,26,0.2035721,0.07986684
560.0,0.11,2800.0,0.096652806,0.15,-21.158993,0.8443764,27,0.20367931,0.08093622
580.0,0.06,2900.0,0.096961565,0.2,-20.633991,0.8443001,28,0.20376001,0.08228506
600.0,0.06,3000.0,0.09697306,0.05,-22.79472,0.8442815,29,0.20375627,0.08271987
620.0,0.08,3100.0,0.0967426,0.1,-29.449966,0.84434336,30,0.20375578,0.08323079
640.0,0.09,3200.0,0.09685936,0.1,-25.10529,0.8440311,31,0.20350267,0.08501737
660.0,0.15,3300.0,0.096696794,0.0,-22.147366,0.8438864,32,0.20354085,0.08578598
680.0,0.05,3400.0,0.09652821,0.1,-23.458675,0.84389776,33,0.20365179,0.08621892
700.0,0.11,3500.0,0.09660107,0.05,-24.43431,0.8438673,34,0.20373812,0.08683458
720.0,0.17,3600.0,0.09711796,0.15,-22.23024,0.8440227,35,0.2036831,0.087928735
740.0,0.16,3700.0,0.09693771,0.2,-21.937847,0.8440957,36,0.20379049,0.08848143
760.0,0.08,3800.0,0.09695607,0.2,-22.72896,0.84396243,37,0.2036158,0.089485586
780.0,0.19,3900.0,0.09670559,0.25,-22.84098,0.8438275,38,0.20342828,0.0900779
800.0,0.13,4000.0,0.09689686,0.2,-21.434628,0.8435283,39,0.20337968,0.0903807
820.0,0.16,4100.0,0.096844785,0.3,-17.940891,0.8434167,40,0.20339966,0.091022775
840.0,0.11,4200.0,0.0966352,0.15,-20.55666,0.84333354,41,0.20350349,0.091499
860.0,0.17,4300.0,0.09672279,0.25,-21.481403,0.84328794,42,0.20360124,0.09251649
880.0,0.13,4400.0,0.0971557,0.3,-18.225681,0.84311384,43,0.20358592,0.09304279
900.0,0.17,4500.0,0.09701669,0.25,-22.005472,0.8430914,44,0.20349821,0.09311172
920.0,0.18,4600.0,0.09701222,0.15,-23.640137,0.84300447,45,0.20346476,0.09371655
940.0,0.12,4700.0,0.09715579,0.1,-25.914165,0.8429615,46,0.20349985,0.09416435
960.0,0.17,4800.0,0.09730899,0.4,-19.254267,0.8428969,47,0.20352143,0.09509448
980.0,0.24,4900.0,0.09716725,0.3,-18.660156,0.8430581,48,0.20359248,0.096105315
1000.0,0.19,5000.0,0.09704765,0.3,-25.353786,0.84312415,49,0.20357521,0.09655499
1020.0,0.19,5100.0,0.09718741,0.3,-22.685991,0.84307694,50,0.2035256,0.097361736
1040.0,0.33,5200.0,0.09715834,0.3,-23.266315,0.8429802,51,0.20352153,0.09796505
1060.0,0.21,5300.0,0.09714397,0.25,-24.26007,0.8429571,52,0.20361628,0.098974615
1080.0,0.29,5400.0,0.097030915,0.25,-19.287281,0.84283274,53,0.20355259,0.09957425
1100.0,0.31,5500.0,0.09704504,0.25,-23.230383,0.84277743,54,0.20351599,0.10022234
1120.0,0.21,5600.0,0.09731481,0.25,-23.18507,0.8427585,55,0.20356357,0.1009795
1140.0,0.25,5700.0,0.097316705,0.3,-21.180977,0.8427019,56,0.20363101,0.10146925
1160.0,0.33,5800.0,0.09730562,0.2,-24.939732,0.8426699,57,0.2036351,0.101910256
1180.0,0.25,5900.0,0.09714773,0.35,-17.796131,0.8428216,58,0.20365778,0.102241315
1200.0,0.22,6000.0,0.097255476,0.35,-17.29164,0.8428927,59,0.20367703,0.102963425
1220.0,0.29,6100.0,0.097383164,0.45,-16.907965,0.8428519,60,0.203653,0.1035537
1240.0,0.25,6200.0,0.09747366,0.15,-23.875254,0.84291434,61,0.2037227,0.103989355
1260.0,0.27,6300.0,0.097476214,0.5,-12.794283,0.84305793,62,0.20376913,0.1040536
1280.0,0.34,6400.0,0.09741769,0.4,-17.24805,0.84310776,63,0.20374538,0.10457477
1300.0,0.3,6500.0,0.097514085,0.35,-16.470825,0.84307057,64,0.20372024,0.1049063
1320.0,0.27,6600.0,0.09746254,0.5,-16.867733,0.8430554,65,0.20372131,0.105197646
1340.0,0.26,6700.0,0.09738389,0.4,-21.688456,0.84317845,66,0.20367372,0.105288334
1360.0,0.43,6800.0,0.0972881,0.3,-24.226809,0.843185,67,0.20374784,0.10551282
1380.0,0.38,6900.0,0.09716999,0.4,-20.224955,0.84314203,68,0.20375428,0.105512835
1400.0,0.36,7000.0,0.097202666,0.55,-18.342718,0.84322816,69,0.20368367,0.10569488
1420.0,0.39,7100.0,0.09717526,0.35,-25.107569,0.8431921,70,0.20368706,0.105918646
1440.0,0.37,7200.0,0.0972513,0.6,-13.229487,0.84323025,71,0.20372841,0.10604933
1460.0,0.27,7300.0,0.097305275,0.5,-16.515842,0.84332657,72,0.20377262,0.10634371
1480.0,0.36,7400.0,0.09748993,0.65,-14.387728,0.84337443,73,0.20387554,0.106680974
1500.0,0.42,7500.0,0.09749237,0.65,-12.029516,0.8433375,74,0.20390546,0.10695629
1520.0,0.45,7600.0,0.097332,0.55,-15.9601,0.84334725,75,0.20391566,0.107023284
1540.0,0.37,7700.0,0.09741589,0.4,-20.72644,0.8433477,76,0.20393236,0.10734198
1560.0,0.41,7800.0,0.09746211,0.6,-14.34771,0.8433624,77,0.20400143,0.107583806
1580.0,0.46,7900.0,0.09766069,0.45,-21.91434,0.84331876,78,0.20397398,0.1078735
1600.0,0.43,8000.0,0.09766907,0.55,-17.207222,0.84339404,79,0.20396008,0.10796912
1620.0,0.41,8100.0,0.09760082,0.7,-12.721214,0.8433432,80,0.20402846,0.10826016
1640.0,0.43,8200.0,0.09753197,0.6,-17.030449,0.8434287,81,0.20408133,0.108592145
1660.0,0.48,8300.0,0.0975487,0.65,-11.053222,0.84347206,82,0.20418283,0.10881112
1680.0,0.46,8400.0,0.09766018,0.5,-16.92475,0.8435412,83,0.20421991,0.109065406
1700.0,0.36,8500.0,0.097709894,0.55,-16.238983,0.84360653,84,0.20422389,0.10920859
1720.0,0.51,8600.0,0.097648226,0.5,-17.610603,0.8435848,85,0.20427486,0.10922388
1740.0,0.45,8700.0,0.09761866,0.6,-14.537796,0.84361243,86,0.20429626,0.10941367
1760.0,0.39,8800.0,0.097502,0.7,-11.705148,0.8435822,87,0.20427397,0.109503515
1780.0,0.36,8900.0,0.09754568,0.5,-16.272171,0.84353894,88,0.20427507,0.10957796
1800.0,0.39,9000.0,0.09756551,0.4,-21.679964,0.8435488,89,0.20425788,0.10954104
1820.0,0.37,9100.0,0.09765161,0.45,-19.8989,0.8435087,90,0.20427085,0.10963853
1840.0,0.43,9200.0,0.097736776,0.5,-19.398657,0.8435113,91,0.20427652,0.10980675
1860.0,0.54,9300.0,0.097632535,0.4,-22.896616,0.8435383,92,0.20428878,0.10974527
1880.0,0.45,9400.0,0.09759944,0.4,-20.871246,0.8435659,93,0.20431764,0.11000184
1900.0,0.39,9500.0,0.097607814,0.4,-22.001581,0.8434946,94,0.2042863,0.10988471
1920.0,0.46,9600.0,0.09748451,0.6,-12.5211525,0.84350467,95,0.20433104,0.109975405
1940.0,0.39,9700.0,0.09747726,0.55,-15.474642,0.84360284,96,0.20437817,0.1100865
1960.0,0.33,9800.0,0.09754294,0.45,-19.336666,0.8436217,97,0.2043725,0.11005742
1980.0,0.47,9900.0,0.0975056,0.5,-15.919584,0.8437199,98,0.2044147,0.11003989
2000.0,0.58,10000.0,0.09742687,0.4,-21.411541,0.8437371,99,0.20443748,0.11003952
2020.0,0.57,10100.0,0.09749795,0.6,-10.621042,0.84370285,100,0.20444667,0.11023357
2040.0,0.37,10200.0,0.09745655,0.55,-18.717838,0.84367234,101,0.20441131,0.11031079
2060.0,0.49,10300.0,0.097363524,0.55,-18.29797,0.8437049,102,0.20440844,0.110294074
2080.0,0.45,10400.0,0.097238936,0.45,-15.860652,0.84377575,103,0.20438758,0.11028303
2100.0,0.46,10500.0,0.09716604,0.65,-13.459582,0.8437779,104,0.2043479,0.11041632
2120.0,0.49,10600.0,0.097126864,0.4,-21.897333,0.8437275,105,0.204304,0.11061759
2140.0,0.49,10700.0,0.09715737,0.5,-15.402982,0.84365153,106,0.20430131,0.11075051
2160.0,0.4,10800.0,0.09713588,0.6,-17.070854,0.8436522,107,0.20427066,0.11068474
2180.0,0.5,10900.0,0.097084425,0.4,-23.017181,0.8436735,108,0.20428036,0.11074391
2200.0,0.5,11000.0,0.09697709,0.55,-20.017467,0.84371185,109,0.20428726,0.1107301
2220.0,0.49,11100.0,0.09690531,0.65,-13.699915,0.84374875,110,0.2043068,0.110923335
2240.0,0.45,11200.0,0.09687588,0.5,-19.93222,0.84374714,111,0.20429625,0.110958464
2260.0,0.45,11300.0,0.09686399,0.6,-14.283931,0.84376425,112,0.20428255,0.111015126
2280.0,0.5,11400.0,0.096788235,0.55,-18.195938,0.8438094,113,0.20428815,0.11108562
2300.0,0.44,11500.0,0.09673086,0.45,-23.283447,0.84380287,114,0.20431268,0.11116113
2320.0,0.51,11600.0,0.09668674,0.55,-18.607529,0.8438347,115,0.20428911,0.1112145
2340.0,0.47,11700.0,0.09659695,0.5,-19.753561,0.8438125,116,0.20427215,0.11115142
2360.0,0.53,11800.0,0.09653894,0.5,-19.246387,0.8438429,117,0.20426886,0.11105058
2380.0,0.46,11900.0,0.096610315,0.6,-18.463432,0.8438585,118,0.20429043,0.11125731
2400.0,0.43,12000.0,0.09660355,0.7,-13.334768,0.8438886,119,0.20428959,0.11134007
2420.0,0.39,12100.0,0.096566774,0.55,-15.766985,0.8439004,120,0.2042718,0.11130248
2440.0,0.41,12200.0,0.09649893,0.75,-6.328889,0.8439571,121,0.2042697,0.11121548
2460.0,0.5,12300.0,0.096458845,0.7,-9.428762,0.84397227,122,0.20428222,0.11120674
2480.0,0.45,12400.0,0.09646335,0.75,-7.791785,0.84402055,123,0.20429556,0.11134347
2500.0,0.47,12500.0,0.09640928,0.5,-18.848953,0.8440257,124,0.20428324,0.111286916
2520.0,0.47,12600.0,0.09647316,0.55,-18.135288,0.84400177,125,0.20427984,0.111375086
2540.0,0.48,12700.0,0.09646455,0.55,-15.315577,0.84400517,126,0.2042633,0.111432
2560.0,0.43,12800.0,0.096531875,0.65,-12.9400425,0.8439669,127,0.20424953,0.11147009
2580.0,0.43,12900.0,0.09662989,0.5,-19.437738,0.8438789,128,0.20424366,0.1114707
2600.0,0.51,13000.0,0.09670162,0.65,-13.616554,0.8438614,129,0.20423748,0.11149447
2620.0,0.52,13100.0,0.09671542,0.7,-14.252742,0.84376794,130,0.2042535,0.11162234
2640.0,0.48,13200.0,0.09668975,0.7,-10.25513,0.84373146,131,0.20427756,0.11162512
2660.0,0.43,13300.0,0.09689754,0.65,-14.0901,0.8437271,132,0.204303,0.11184779
2680.0,0.48,13400.0,0.096983545,0.6,-16.781889,0.8437376,133,0.20433155,0.1119708
2700.0,0.46,13500.0,0.09703326,0.6,-18.020586,0.8437759,134,0.20428063,0.11199615
2720.0,0.51,13600.0,0.09700036,0.55,-15.684967,0.84375113,135,0.20428583,0.11203714
2740.0,0.45,13700.0,0.09694273,0.65,-13.351384,0.8437233,136,0.2043017,0.11202039
2760.0,0.56,13800.0,0.09688887,0.45,-18.578497,0.84372306,137,0.2043104,0.111992635
2780.0,0.49,13900.0,0.09689325,0.8,-8.11832,0.8437011,138,0.20428078,0.11200744
2800.0,0.53,14000.0,0.09689394,0.75,-6.181884,0.8436777,139,0.20430362,0.11193671
2820.0,0.57,14100.0,0.096859194,0.7,-8.375917,0.8436661,140,0.2043289,0.111946575
2840.0,0.47,14200.0,0.09687695,0.7,-12.357518,0.8436486,141,0.20430696,0.11194478
2860.0,0.46,14300.0,0.09683812,0.35,-20.933954,0.84366655,142,0.20431717,0.11193058
2880.0,0.52,14400.0,0.09687776,0.6,-17.211191,0.84367293,143,0.20432514,0.111911185
2900.0,0.48,14500.0,0.096924804,0.75,-10.661905,0.8437049,144,0.20432784,0.11192278
2920.0,0.53,14600.0,0.09691193,0.75,-9.364153,0.84370476,145,0.20433207,0.111924864
2940.0,0.64,14700.0,0.09697976,0.5,-20.144144,0.8437392,146,0.20432964,0.11193337
2960.0,0.5,14800.0,0.09698308,0.45,-19.44868,0.8437821,147,0.20434289,0.11195262
2980.0,0.49,14900.0,0.09696827,0.5,-15.774465,0.84377843,148,0.20434757,0.111957006
3000.0,0.6,15000.0,0.09690774,0.6,-13.411107,0.84378,149,0.20432977,0.111994974
3020.0,0.46,15100.0,0.09693286,0.7,-11.421722,0.8438008,150,0.20431003,0.11202362
3040.0,0.44,15200.0,0.09688655,0.8,-9.9721575,0.8438032,151,0.20430613,0.11195823
3060.0,0.51,15300.0,0.096961685,0.8,-8.730055,0.8437881,152,0.20429623,0.112056665
3080.0,0.47,15400.0,0.09699907,0.5,-14.381602,0.8437734,153,0.20428257,0.112033
3100.0,0.54,15500.0,0.096999735,0.7,-11.480612,0.8437882,154,0.20427448,0.11205503
3120.0,0.5,15600.0,0.097014494,0.75,-7.3257127,0.8437948,155,0.20423998,0.11213433
3140.0,0.5,15700.0,0.097085305,0.7,-12.418258,0.8438062,156,0.20421247,0.11228976
3160.0,0.56,15800.0,0.09707617,0.75,-7.9348464,0.8438313,157,0.2042137,0.11227705
3180.0,0.4,15900.0,0.09712553,0.65,-12.997099,0.84381205,158,0.2041824,0.11229182
3200.0,0.51,16000.0,0.097168565,0.4,-18.53717,0.8438446,159,0.20419864,0.11239967
3220.0,0.54,16100.0,0.09724256,0.75,-9.740598,0.8438265,160,0.20421551,0.11253291
3240.0,0.45,16200.0,0.09726032,0.75,-4.8510585,0.8438055,161,0.20419517,0.11261807
3260.0,0.53,16300.0,0.09723879,0.75,-9.232019,0.8438228,162,0.20421301,0.11265437
3280.0,0.5,16400.0,0.09727534,0.8,-6.829399,0.8438175,163,0.204206,0.11264436
3300.0,0.57,16500.0,0.09730304,0.5,-12.091094,0.8438044,164,0.20420052,0.11271899
3320.0,0.51,16600.0,0.097397506,0.8,-4.9179807,0.84377813,165,0.20419727,0.11273
3340.0,0.5,16700.0,0.09739983,0.6,-8.752221,0.8438094,166,0.2042042,0.11275381
3360.0,0.45,16800.0,0.097405225,0.7,-8.575666,0.8438538,167,0.20421527,0.11279798
3380.0,0.52,16900.0,0.09741037,0.9,-2.9514978,0.8438646,168,0.20421273,0.11288271
3400.0,0.48,17000.0,0.09745472,0.65,-8.263856,0.8438359,169,0.20421326,0.11298864
3420.0,0.49,17100.0,0.0974339,0.55,-11.434248,0.8438372,170,0.20420428,0.11302961
3440.0,0.47,17200.0,0.09742883,0.7,-5.5209455,0.84384465,171,0.20421702,0.11313622
3460.0,0.49,17300.0,0.097399004,0.75,-7.855609,0.8438647,172,0.20419624,0.11314129
3480.0,0.5,17400.0,0.09744289,0.85,-4.2222686,0.8438707,173,0.20425016,0.11317317
3500.0,0.52,17500.0,0.09742776,0.6,-6.6359777,0.8438504,174,0.20425454,0.11323592
3520.0,0.51,17600.0,0.097530305,0.85,-4.485413,0.843852,175,0.20423533,0.113259695
3540.0,0.5,17700.0,0.09756135,0.85,-4.0621195,0.8438818,176,0.2042152,0.11331077
3560.0,0.53,17800.0,0.09754988,0.8,-3.1019523,0.8439067,177,0.204217,0.113331586
3580.0,0.53,17900.0,0.09753104,0.7,-6.202653,0.843926,178,0.20425491,0.11338264
3600.0,0.52,18000.0,0.097531736,0.7,-5.5565686,0.84398174,179,0.20428433,0.11345562
3620.0,0.51,18100.0,0.09747241,0.8,-3.2872581,0.8440024,180,0.20430768,0.11342608
3640.0,0.48,18200.0,0.09745344,0.8,-6.7328873,0.84401894,181,0.20430866,0.11342417
3660.0,0.53,18300.0,0.0974857,0.75,-4.5966077,0.8440187,182,0.20430313,0.11341789
3680.0,0.57,18400.0,0.09744895,0.75,-7.0611544,0.8440394,183,0.20432132,0.11338496
3700.0,0.55,18500.0,0.09739884,0.5,-6.980504,0.8439996,184,0.20433117,0.11339008
3720.0,0.52,18600.0,0.09737643,0.85,-5.909224,0.84400636,185,0.20433022,0.11332254
3740.0,0.51,18700.0,0.0973518,0.85,-3.762582,0.8440234,186,0.20433454,0.113286145
3760.0,0.55,18800.0,0.09735904,0.75,-5.6031704,0.8439869,187,0.20434688,0.113287665
3780.0,0.48,18900.0,0.09733563,0.8,-6.325367,0.84402937,188,0.2043677,0.11326576
3800.0,0.52,19000.0,0.09732919,0.9,-3.4569945,0.8440619,189,0.20435008,0.11322437
3820.0,0.55,19100.0,0.09737145,0.7,-5.760976,0.8440607,190,0.20433657,0.1131939
3840.0,0.6,19200.0,0.09739698,0.9,-2.0469577,0.8440928,191,0.20433488,0.11318857
3860.0,0.56,19300.0,0.09739856,0.95,-1.4156597,0.8441246,192,0.2043503,0.11316847
3880.0,0.53,19400.0,0.09737029,0.75,-6.4877534,0.84412646,193,0.20436783,0.1131243
3900.0,0.58,19500.0,0.09734713,0.85,-4.2466083,0.8441715,194,0.20439924,0.113128446
3920.0,0.56,19600.0,0.09733456,0.7,-6.030939,0.8442066,195,0.20443612,0.113073304
3940.0,0.51,19700.0,0.09732131,0.8,-2.5972266,0.8442302,196,0.20445305,0.11299049
3960.0,0.56,19800.0,0.097305715,0.9,-2.3111744,0.84423953,197,0.2044462,0.11301275
3980.0,0.61,19900.0,0.097282894,0.7,-6.977095,0.84428483,198,0.204467,0.11296531
4000.0,0.53,20000.0,0.09727033,0.8,-3.3187764,0.84429413,199,0.20449685,0.11290614
4020.0,0.54,20100.0,0.0972642,0.75,-5.393687,0.8442962,200,0.20453735,0.11290843
4040.0,0.63,20200.0,0.09721158,0.8,-5.5223045,0.84432644,201,0.20454006,0.112833165
4060.0,0.5,20300.0,0.09722951,0.85,-2.8738046,0.84435457,202,0.20455675,0.11275353
4080.0,0.51,20400.0,0.09727862,0.95,-1.6267698,0.8443761,203,0.20454848,0.11267727
4100.0,0.51,20500.0,0.09731171,0.8,-4.396814,0.8443727,204,0.20455468,0.11266177
4120.0,0.54,20600.0,0.097308554,0.8,-5.347978,0.844378,205,0.20457269,0.112599306
4140.0,0.55,20700.0,0.097298734,0.9,-2.630625,0.844393,206,0.20456623,0.11249436
4160.0,0.47,20800.0,0.09727112,0.85,-3.1545427,0.84440106,207,0.20456356,0.11240033
4180.0,0.6,20900.0,0.09725223,0.9,-6.3008046,0.84444076,208,0.20458902,0.112343214
4200.0,0.52,21000.0,0.09725073,0.75,-4.5267057,0.8444505,209,0.20458001,0.11227285
4220.0,0.5,21100.0,0.09726248,0.8,-5.666458,0.84441906,210,0.2045722,0.112288505
4240.0,0.55,21200.0,0.09723777,0.8,-6.585901,0.84441155,211,0.2045817,0.112262204
4260.0,0.61,21300.0,0.09720694,0.75,-6.2908416,0.84440047,212,0.2045683,0.112256736
4280.0,0.56,21400.0,0.09717723,0.8,-4.6554074,0.84439343,213,0.20456055,0.112175025
4300.0,0.63,21500.0,0.09714507,0.75,-5.436363,0.8443942,214,0.20456128,0.11216212
4320.0,0.55,21600.0,0.097173005,0.8,-6.158882,0.8443777,215,0.2045528,0.11211096
4340.0,0.51,21700.0,0.09715414,0.85,-4.127437,0.8444093,216,0.20456666,0.11209171
4360.0,0.61,21800.0,0.09713814,0.75,-8.0355215,0.8443875,217,0.20455326,0.11207784
4380.0,0.63,21900.0,0.097090214,0.75,-5.667588,0.8443565,218,0.2045496,0.11199504
4400.0,0.57,22000.0,0.09706738,0.9,-3.6646972,0.8443472,219,0.20453407,0.111955605
4420.0,0.54,22100.0,0.09706122,0.75,-5.043911,0.8443551,220,0.20454901,0.1119203
4440.0,0.62,22200.0,0.09706664,0.9,-3.6168754,0.8443439,221,0.20456533,0.11190672
4460.0,0.57,22300.0,0.09702534,0.7,-6.712827,0.84436625,222,0.20457247,0.11188416
4480.0,0.56,22400.0,0.09705558,0.9,-4.047439,0.8443775,223,0.20457628,0.111876585
4500.0,0.5,22500.0,0.09701326,0.75,-7.9601164,0.844367,224,0.20457086,0.11186599
4520.0,0.55,22600.0,0.09699959,0.9,-2.863257,0.8443667,225,0.20458122,0.11183249
4540.0,0.61,22700.0,0.096978806,0.7,-8.570794,0.844388,226,0.20460154,0.11182808
4560.0,0.57,22800.0,0.09697602,0.7,-9.21136,0.84438086,227,0.20459245,0.11178648
4580.0,0.51,22900.0,0.096979894,0.8,-5.273526,0.8443947,228,0.20459732,0.111748256
4600.0,0.54,23000.0,0.096967645,0.9,-3.4600081,0.8444028,229,0.20459774,0.11170051
4620.0,0.58,23100.0,0.09693086,0.9,-3.4551654,0.84438246,230,0.20458315,0.11167541
4640.0,0.56,23200.0,0.09695965,0.8,-4.664283,0.84436566,231,0.20459817,0.11161831
4660.0,0.63,23300.0,0.0969486,0.75,-6.5348577,0.84436387,232,0.204593,0.1116099
4680.0,0.49,23400.0,0.09694872,0.8,-6.2650642,0.8444042,233,0.20459704,0.11156971
4700.0,0.64,23500.0,0.09691892,0.9,-5.078969,0.84441537,234,0.20460553,0.11151537
4720.0,0.51,23600.0,0.09697323,0.85,-3.4829094,0.84440154,235,0.20460308,0.11153204
4740.0,0.54,23700.0,0.09700048,1.0,-1.1108043,0.84441775,236,0.20460661,0.11155803
4760.0,0.58,23800.0,0.0969888,0.75,-7.585898,0.8444135,237,0.2046154,0.11153594
4780.0,0.61,23900.0,0.09696389,0.8,-8.506067,0.84440035,238,0.2046031,0.1114507
4800.0,0.67,24000.0,0.09697169,0.8,-7.95356,0.84439903,239,0.20458087,0.11142662
4820.0,0.59,24100.0,0.09697371,0.85,-5.9556785,0.8443875,240,0.20457628,0.11140033
4840.0,0.58,24200.0,0.09696013,0.95,-2.400494,0.8444066,241,0.20457679,0.111385204
4860.0,0.6,24300.0,0.09694695,0.75,-4.506489,0.84439236,242,0.2045666,0.11133973
4880.0,0.69,24400.0,0.09698844,0.65,-10.535452,0.8443787,243,0.2045786,0.11132589
4900.0,0.65,24500.0,0.0969621,0.85,-6.3550854,0.8443721,244,0.2045683,0.111254446
4920.0,0.54,24600.0,0.09693811,0.8,-6.190011,0.84440285,245,0.20459665,0.11119952
4940.0,0.47,24700.0,0.096938305,0.9,-4.4218893,0.84440213,246,0.20459841,0.11118361
4960.0,0.55,24800.0,0.096940905,0.8,-7.043055,0.8444019,247,0.20460427,0.111176044
4980.0,0.55,24900.0,0.096939564,0.9,-4.3713446,0.8443802,248,0.20461135,0.111189835
5000.0,0.62,25000.0,0.09689912,0.9,-3.5096302,0.84438187,249,0.20460293,0.11121858
5020.0,0.6,25100.0,0.096892975,1.0,-0.52868074,0.844383,250,0.20460519,0.11125286
5040.0,0.5,25200.0,0.09689697,0.7,-7.24166,0.84437245,251,0.20458455,0.111215875
5060.0,0.5,25300.0,0.09697068,0.9,-3.381925,0.8443444,252,0.20458326,0.11125425
5080.0,0.58,25400.0,0.0969479,0.75,-7.434208,0.8443424,253,0.2045925,0.11120509
5100.0,0.64,25500.0,0.09689642,0.9,-4.811564,0.8443336,254,0.20459738,0.11111967
5120.0,0.48,25600.0,0.096926786,0.85,-4.7500334,0.8443527,255,0.20460069,0.11110006
5140.0,0.55,25700.0,0.09691477,0.85,-5.068985,0.844366,256,0.20460075,0.11107126
5160.0,0.64,25800.0,0.096880056,0.95,-2.4782145,0.8443667,257,0.20462069,0.11102245
5180.0,0.54,25900.0,0.09687986,0.9,-5.307883,0.84437376,258,0.20463234,0.11103092
5200.0,0.63,26000.0,0.09686858,0.85,-4.4412966,0.844357,259,0.20463346,0.11103075
5220.0,0.62,26100.0,0.09683499,0.8,-5.731097,0.844361,260,0.20463271,0.11101822
5240.0,0.58,26200.0,0.09684181,0.95,-3.3318734,0.8443651,261,0.20464343,0.11097609
5260.0,0.69,26300.0,0.096808575,0.85,-5.2363825,0.8443601,262,0.20464714,0.11096681
5280.0,0.65,26400.0,0.09678527,0.9,-5.408021,0.84438366,263,0.20465979,0.11095446
5300.0,0.6,26500.0,0.09678724,0.95,-2.320383,0.84437984,264,0.20464973,0.11095214
5320.0,0.61,26600.0,0.09678897,1.0,-0.8593394,0.8443802,265,0.20464624,0.110940956
5340.0,0.64,26700.0,0.09679714,0.85,-4.65255,0.8443802,266,0.20465134,0.11093192
5360.0,0.54,26800.0,0.09679043,0.75,-5.080092,0.84439945,267,0.20467573,0.11091153
5380.0,0.55,26900.0,0.09682677,0.85,-4.0634484,0.84437394,268,0.20466731,0.11092866
5400.0,0.47,27000.0,0.096898705,0.85,-2.6608443,0.8443708,269,0.204667,0.110949956
5420.0,0.61,27100.0,0.096919864,0.95,-1.3050458,0.84438676,270,0.20468403,0.11093224
5440.0,0.58,27200.0,0.09690765,0.85,-5.385284,0.84438235,271,0.20468363,0.11093197
5460.0,0.66,27300.0,0.09693384,0.85,-4.2045984,0.84439546,272,0.20470208,0.11090543
5480.0,0.64,27400.0,0.096939616,0.8,-3.5063128,0.8443825,273,0.20469627,0.1108773
5500.0,0.53,27500.0,0.09693205,0.85,-3.5052962,0.8443782,274,0.2047085,0.11086926
5520.0,0.62,27600.0,0.09694413,0.9,-4.4484396,0.84438866,275,0.2047172,0.110838346
5540.0,0.52,27700.0,0.097024195,1.0,-1.042967,0.84438556,276,0.20470762,0.110848635
