stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/mean_Q,test/episode,test/success_rate,epoch,train/episode,stats_o/std
0.26321822,0.8,0.87694526,0.08560587,-0.077021465,1280.0,1.0,63,1280.0,0.030731857
0.26318988,0.9,0.876851,0.08565372,-0.062235348,1300.0,1.0,64,1300.0,0.030749416
0.2631764,0.65,0.87679607,0.085538745,-0.046521135,1320.0,1.0,65,1320.0,0.030712437
0.26314515,0.75,0.87668085,0.08548052,-0.05533445,1340.0,1.0,66,1340.0,0.03069247
0.2631171,0.9,0.8765314,0.08555353,-0.058023274,1360.0,1.0,67,1360.0,0.030718947
0.2630339,0.85,0.8762277,0.08543801,-0.03921913,1380.0,1.0,68,1380.0,0.030699119
0.2630397,0.75,0.876259,0.08543438,-0.061991226,1400.0,1.0,69,1400.0,0.030700287
0.2630079,0.8,0.8760993,0.08547605,-0.07751174,1420.0,1.0,70,1420.0,0.030703664
0.26303557,0.7,0.876204,0.085478574,-0.07924873,1440.0,1.0,71,1440.0,0.03070249
0.26304597,0.75,0.87625855,0.08546639,-0.060812283,1460.0,1.0,72,1460.0,0.03069734
0.26304644,0.8,0.8762428,0.08549241,-0.035575975,1480.0,1.0,73,1480.0,0.030703485
0.26306272,0.75,0.8762929,0.08539442,-0.044224106,1500.0,1.0,74,1500.0,0.030679137
0.26314372,0.65,0.87661856,0.08544096,-0.057786353,1520.0,1.0,75,1520.0,0.030693788
0.26312453,0.8,0.87653756,0.08552138,-0.059904885,1540.0,1.0,76,1540.0,0.030718554
0.26314482,0.65,0.8766219,0.08557725,-0.055399846,1560.0,1.0,77,1560.0,0.030747464
0.26314214,0.8,0.87659234,0.085661955,-0.07883468,1580.0,1.0,78,1580.0,0.030761227
0.26318404,0.85,0.87672883,0.08565384,-0.009263557,1600.0,1.0,79,1600.0,0.030765152
0.26314247,0.65,0.87656885,0.085598804,-0.026768887,1620.0,1.0,80,1620.0,0.03074101
0.26310754,0.9,0.8764283,0.08562114,-0.03898838,1640.0,1.0,81,1640.0,0.030747911
0.26306394,0.9,0.87624484,0.085592546,-0.027862394,1660.0,1.0,82,1660.0,0.030734474
0.2630443,0.8,0.8761673,0.08558607,-0.046795003,1680.0,1.0,83,1680.0,0.030740041
0.26299745,0.8,0.8759937,0.085458755,-0.03838163,1700.0,1.0,84,1700.0,0.030708337
0.26299542,0.8,0.875987,0.085531704,-0.08772321,1720.0,1.0,85,1720.0,0.03073157
0.26296723,0.55,0.8758748,0.085614316,-0.0818889,1740.0,1.0,86,1740.0,0.030748565
0.26301855,0.65,0.8760443,0.08571244,-0.078257546,1760.0,1.0,87,1760.0,0.03077595
0.26303092,0.9,0.87605697,0.08565018,-0.043075345,1780.0,1.0,88,1780.0,0.030755814
0.26300353,0.7,0.87595636,0.085650705,-0.061083507,1800.0,1.0,89,1800.0,0.030755755
0.26300162,0.75,0.8759396,0.08563715,-0.058155864,1820.0,1.0,90,1820.0,0.03074863
0.2630041,0.8,0.87592953,0.08564299,-0.078581646,1840.0,1.0,91,1840.0,0.030752096
0.26298705,0.8,0.87584424,0.085686386,-0.05991258,1860.0,1.0,92,1860.0,0.030766392
0.2629396,0.95,0.87563825,0.08562666,-0.077223755,1880.0,1.0,93,1880.0,0.030747926
0.26293856,0.8,0.8756512,0.08564282,-0.05791489,1900.0,1.0,94,1900.0,0.030743921
0.2629103,0.7,0.8755446,0.08563473,-0.05678491,1920.0,1.0,95,1920.0,0.030733738
0.26294595,0.85,0.87569016,0.08568675,-0.06537898,1940.0,1.0,96,1940.0,0.030747091
0.262955,0.6,0.87572557,0.08568456,-0.07529004,1960.0,1.0,97,1960.0,0.030749992
0.26288527,0.95,0.8754564,0.085658126,-0.061776876,1980.0,1.0,98,1980.0,0.030744791
0.26292485,0.65,0.8755963,0.085737586,-0.047742777,2000.0,1.0,99,2000.0,0.030766686
0.26292205,0.7,0.875591,0.08566407,-0.014858237,2020.0,1.0,100,2020.0,0.030745218
0.26292172,0.95,0.87559986,0.085642934,-0.06422788,2040.0,1.0,101,2040.0,0.030734405
0.26294667,0.95,0.87570906,0.08569447,-0.07562101,2060.0,1.0,102,2060.0,0.030749977
0.26298144,0.6,0.8758402,0.08565941,-0.06031982,2080.0,1.0,103,2080.0,0.030738961
0.2629333,0.8,0.87564677,0.08563136,-0.030199891,2100.0,1.0,104,2100.0,0.030726021
0.26295084,1.0,0.87574595,0.085558556,-0.067231104,2120.0,1.0,105,2120.0,0.030707384
0.2629345,0.85,0.8756786,0.08550722,-0.040187627,2140.0,1.0,106,2140.0,0.030691063
0.262884,0.8,0.87549615,0.08547282,-0.06434062,2160.0,1.0,107,2160.0,0.030676454
0.26286843,0.8,0.87543064,0.085433275,-0.04160208,2180.0,1.0,108,2180.0,0.03066701
0.26284787,0.65,0.8753438,0.08545124,-0.040840738,2200.0,1.0,109,2200.0,0.030673835
0.26286712,0.75,0.8754387,0.08541455,-0.037584923,2220.0,1.0,110,2220.0,0.030657595
0.2628651,0.9,0.8754225,0.08538985,-0.047227867,2240.0,1.0,111,2240.0,0.030652285
0.26284298,0.65,0.8753448,0.08540511,-0.093831,2260.0,1.0,112,2260.0,0.030650517
0.26283246,0.7,0.87531775,0.085396715,-0.024538035,2280.0,1.0,113,2280.0,0.03064987
0.2628019,0.8,0.8752141,0.085328944,-0.04554056,2300.0,1.0,114,2300.0,0.030634563
0.26280525,0.75,0.87522125,0.08532945,-0.0370894,2320.0,1.0,115,2320.0,0.030632833
0.2628107,0.7,0.8752274,0.08528814,-0.05969146,2340.0,1.0,116,2340.0,0.03061856
0.2628209,0.85,0.87526727,0.08528181,-0.023102513,2360.0,1.0,117,2360.0,0.030617064
0.26280364,0.65,0.8751797,0.085313626,-0.03905956,2380.0,1.0,118,2380.0,0.030631006
0.26279718,0.8,0.8751516,0.08534273,-0.03808716,2400.0,1.0,119,2400.0,0.03063647
0.26280946,0.85,0.8752203,0.08537195,-0.05549851,2420.0,1.0,120,2420.0,0.030645404
0.2628761,0.55,0.8754697,0.085443765,-0.06671609,2440.0,1.0,121,2440.0,0.030664366
0.26286307,0.85,0.8754404,0.08543747,-0.05209728,2460.0,1.0,122,2460.0,0.0306628
0.26286158,0.6,0.8754073,0.08537213,-0.036748033,2480.0,1.0,123,2480.0,0.030640215
0.26282817,0.9,0.8752919,0.0853261,-0.032283537,2500.0,1.0,124,2500.0,0.030627668
0.2628235,0.85,0.8752586,0.085314274,-0.042220153,2520.0,1.0,125,2520.0,0.030623848
0.26280743,0.85,0.87520534,0.08525015,-0.033909492,2540.0,1.0,126,2540.0,0.030605907
0.26279098,0.8,0.87512046,0.08526963,-0.05736966,2560.0,1.0,127,2560.0,0.03061175
