train/success_rate,stats_g/mean,train/episode,test/mean_Q,test/episode,stats_g/std,stats_o/std,epoch,stats_o/mean,test/success_rate
0.85,0.8779772,1280.0,-0.033897225,1280.0,0.08478257,0.030502498,63,0.26331574,1.0
0.75,0.87788916,1300.0,-0.028221909,1300.0,0.0848726,0.030524608,64,0.26330116,1.0
0.9,0.8777838,1320.0,-0.01798655,1320.0,0.08484767,0.030515652,65,0.26326227,1.0
0.7,0.8776789,1340.0,-0.033450454,1340.0,0.084798105,0.03050074,66,0.26323888,1.0
0.75,0.8774514,1360.0,-0.044004697,1360.0,0.08491356,0.030523643,67,0.26318967,1.0
0.8,0.87713003,1380.0,-0.031964466,1380.0,0.08480587,0.030495942,68,0.26311117,1.0
0.75,0.8770713,1400.0,-0.053839117,1400.0,0.08478299,0.030498082,69,0.26309574,1.0
0.8,0.8768935,1420.0,-0.07483268,1420.0,0.084869765,0.03051911,70,0.2630556,1.0
0.8,0.8770051,1440.0,-0.06304643,1440.0,0.08491548,0.030538222,71,0.2630896,1.0
0.75,0.87703013,1460.0,-0.035504583,1460.0,0.08489579,0.030532438,72,0.26310092,1.0
0.7,0.87698156,1480.0,-0.049439333,1480.0,0.084903695,0.030537331,73,0.263092,1.0
0.8,0.87701917,1500.0,-0.015838552,1500.0,0.084821366,0.030510467,74,0.26310262,1.0
0.75,0.87734777,1520.0,-0.007939313,1520.0,0.084873594,0.030525494,75,0.2631872,1.0
0.75,0.8772497,1540.0,-0.052914035,1540.0,0.08492046,0.03054138,76,0.26316065,1.0
0.95,0.8773236,1560.0,-0.03306827,1560.0,0.08495561,0.030554075,77,0.26317835,1.0
0.85,0.87731314,1580.0,-0.06901048,1580.0,0.085077316,0.030590963,78,0.26317725,1.0
0.7,0.87740153,1600.0,-0.08434446,1600.0,0.08504385,0.030583143,79,0.26319987,1.0
0.65,0.8772952,1620.0,-0.03258478,1620.0,0.084992915,0.030569294,80,0.26317352,1.0
0.7,0.8771269,1640.0,-0.076095715,1640.0,0.085022666,0.030576807,81,0.26312414,1.0
0.8,0.8769308,1660.0,-0.019988228,1660.0,0.08499455,0.030565217,82,0.26307184,1.0
0.65,0.8769276,1680.0,-0.079936646,1680.0,0.085007936,0.030568803,83,0.26307565,1.0
0.85,0.8767247,1700.0,-0.024960201,1700.0,0.08491913,0.030547256,84,0.2630164,1.0
0.65,0.8767511,1720.0,-0.043767773,1720.0,0.08495801,0.030558646,85,0.26302448,1.0
0.75,0.8766553,1740.0,-0.072650105,1740.0,0.08504853,0.030579966,86,0.26299888,1.0
0.75,0.8767874,1760.0,-0.080964506,1760.0,0.08513242,0.030605892,87,0.2630381,1.0
0.8,0.87680596,1780.0,-0.050090455,1780.0,0.08509316,0.030590275,88,0.26304108,1.0
0.8,0.87671757,1800.0,-0.037076406,1800.0,0.08513334,0.03060168,89,0.2630152,1.0
0.8,0.876705,1820.0,-0.06724063,1820.0,0.08513591,0.03060112,90,0.2630156,1.0
0.75,0.8767016,1840.0,-0.032794494,1840.0,0.08515543,0.030606154,91,0.26301616,1.0
0.8,0.87659734,1860.0,-0.05223463,1860.0,0.085225165,0.030617367,92,0.26298684,1.0
0.7,0.8764062,1880.0,-0.045944847,1880.0,0.08521002,0.03061223,93,0.26293692,1.0
0.75,0.876456,1900.0,-0.09335007,1900.0,0.08525512,0.030625517,94,0.26295167,1.0
0.6,0.8763202,1920.0,-0.056070518,1920.0,0.08522602,0.030618018,95,0.26291668,1.0
0.6,0.8764784,1940.0,-0.05186119,1940.0,0.08526047,0.030626113,96,0.26295575,1.0
0.7,0.87653357,1960.0,-0.06873004,1960.0,0.085258506,0.030622771,97,0.26297918,1.0
0.9,0.8762603,1980.0,-0.02732799,1980.0,0.085257955,0.03062734,98,0.26290506,1.0
0.7,0.8764257,2000.0,-0.06469339,2000.0,0.08540216,0.030668218,99,0.26294726,1.0
0.65,0.8763806,2020.0,-0.032674722,2020.0,0.08533529,0.030651072,100,0.26293322,1.0
0.9,0.87637633,2040.0,-0.0479581,2040.0,0.08530047,0.030643428,101,0.26293045,1.0
0.65,0.87646294,2060.0,-0.06772701,2060.0,0.08532486,0.030647242,102,0.2629547,1.0
0.75,0.87658596,2080.0,-0.07613076,2080.0,0.08527997,0.030635903,103,0.2629909,1.0
0.75,0.8764016,2100.0,-0.037957698,2100.0,0.08525949,0.030632934,104,0.2629426,1.0
0.8,0.87646824,2120.0,-0.035167903,2120.0,0.08519238,0.030618232,105,0.26295954,1.0
0.65,0.8763998,2140.0,-0.081675634,2140.0,0.08512678,0.030604428,106,0.26294202,1.0
0.9,0.8762436,2160.0,-0.063104466,2160.0,0.08509315,0.030589398,107,0.26289853,1.0
0.8,0.87622434,2180.0,-0.05737924,2180.0,0.0850696,0.0305814,108,0.26289484,1.0
0.7,0.87614065,2200.0,-0.088678524,2200.0,0.08510838,0.030588588,109,0.26287335,1.0
0.8,0.876244,2220.0,-0.081505135,2220.0,0.08508104,0.03057762,110,0.26290217,1.0
0.6,0.87625426,2240.0,-0.018227182,2240.0,0.08506868,0.030569103,111,0.26290363,1.0
0.6,0.8762068,2260.0,-0.042664014,2260.0,0.08508,0.030571714,112,0.2628879,1.0
0.8,0.87618655,2280.0,-0.05300954,2280.0,0.08505257,0.030568209,113,0.26288432,1.0
0.8,0.87608427,2300.0,-0.05382348,2300.0,0.084965944,0.030541688,114,0.2628575,1.0
