stats_g/mean,stats_o/std,stats_o/mean,epoch,test/episode,stats_g/std,test/success_rate,train/success_rate,test/mean_Q,train/episode
0.83892936,0.04832058,0.20113945,63,1280.0,0.060808208,0.05,0.09,-6.273425,6400.0
0.8389123,0.04845955,0.20116788,64,1300.0,0.060828123,0.1,0.04,-6.1666555,6500.0
0.83886415,0.04858874,0.20118296,65,1320.0,0.0608013,0.0,0.08,-7.4845896,6600.0
0.83886,0.048795406,0.20116286,66,1340.0,0.06082299,0.05,0.08,-5.620116,6700.0
0.83883476,0.04908552,0.20117243,67,1360.0,0.06083673,0.0,0.09,-6.098285,6800.0
0.8388099,0.049381696,0.20118429,68,1380.0,0.06079583,0.15,0.07,-6.553608,6900.0
0.83882767,0.049439058,0.20118505,69,1400.0,0.06078774,0.05,0.09,-6.4603415,7000.0
0.83884335,0.049444064,0.20117904,70,1420.0,0.060797084,0.05,0.08,-6.8970556,7100.0
0.8388183,0.049685832,0.20115586,71,1440.0,0.060805276,0.0,0.1,-7.194854,7200.0
0.8388342,0.04993992,0.20118174,72,1460.0,0.06080016,0.05,0.11,-5.9930167,7300.0
0.8388433,0.05004471,0.20119557,73,1480.0,0.06079425,0.1,0.06,-5.94784,7400.0
0.8388224,0.05009843,0.20119627,74,1500.0,0.060810402,0.05,0.07,-7.2692437,7500.0
0.83876324,0.050087184,0.20121515,75,1520.0,0.060841624,0.15,0.08,-5.5724244,7600.0
0.8387849,0.050185453,0.20119266,76,1540.0,0.060839072,0.1,0.07,-6.9051995,7700.0
0.8387901,0.05036071,0.20119472,77,1560.0,0.060825124,0.05,0.11,-7.4386663,7800.0
0.83879423,0.050461136,0.20122704,78,1580.0,0.060809795,0.0,0.1,-7.035712,7900.0
0.838778,0.05064249,0.20123695,79,1600.0,0.06078365,0.0,0.09,-6.3773394,8000.0
0.8387911,0.050823048,0.2012299,80,1620.0,0.060785744,0.0,0.06,-6.565689,8100.0
0.8388192,0.050966755,0.20119424,81,1640.0,0.060756132,0.0,0.09,-7.1464095,8200.0
0.8388379,0.05095608,0.20118773,82,1660.0,0.06076478,0.0,0.09,-7.9652953,8300.0
0.8388576,0.05088433,0.20118685,83,1680.0,0.06078953,0.05,0.03,-6.864334,8400.0
0.83888316,0.05087933,0.20120193,84,1700.0,0.060800117,0.15,0.09,-6.982405,8500.0
0.83889765,0.050959982,0.20119484,85,1720.0,0.06081685,0.05,0.06,-7.072984,8600.0
0.8389039,0.050925523,0.20120157,86,1740.0,0.0608232,0.15,0.09,-5.8302507,8700.0
0.8389354,0.051106676,0.20120558,87,1760.0,0.060823206,0.15,0.06,-7.586782,8800.0
0.83894247,0.051281042,0.20120667,88,1780.0,0.060836565,0.1,0.04,-7.0951166,8900.0
0.838924,0.051290825,0.20122318,89,1800.0,0.060823444,0.15,0.12,-6.8752584,9000.0
0.83892107,0.051270533,0.20120205,90,1820.0,0.060831293,0.05,0.07,-6.9402976,9100.0
