stats_g/std,test/episode,test/mean_Q,stats_o/mean,stats_o/std,train/episode,epoch,stats_g/mean,test/success_rate,train/success_rate
0.16498749,660.0,-20.320673,0.18244189,0.07788279,3300.0,32,0.754289,0.0,0.02
0.16605961,680.0,-21.818253,0.18295002,0.07881715,3400.0,33,0.7557133,0.0,0.08
0.16679429,700.0,-18.926517,0.1832922,0.07995007,3500.0,34,0.7569079,0.15,0.16
0.1678995,720.0,-21.78555,0.18362556,0.08084608,3600.0,35,0.758331,0.15,0.12
0.16936392,740.0,-20.014477,0.18380629,0.08229926,3700.0,36,0.7591885,0.15,0.12
0.17043395,760.0,-21.823256,0.1841054,0.08341138,3800.0,37,0.7603814,0.1,0.05
0.17073576,780.0,-19.665968,0.18421726,0.083741434,3900.0,38,0.76134825,0.15,0.1
0.17118119,800.0,-20.200542,0.18445106,0.084318966,4000.0,39,0.76218367,0.15,0.05
0.17166513,820.0,-19.718536,0.18469043,0.085369274,4100.0,40,0.7631211,0.15,0.1
0.17203994,840.0,-23.553799,0.1849714,0.08623526,4200.0,41,0.7641349,0.2,0.08
0.1727562,860.0,-16.309425,0.18517596,0.086553484,4300.0,42,0.764961,0.3,0.07
0.17364167,880.0,-19.53024,0.18523447,0.08734712,4400.0,43,0.7656,0.1,0.05
0.17376952,900.0,-22.133137,0.1853895,0.08737018,4500.0,44,0.76622134,0.05,0.09
0.17444976,920.0,-18.544237,0.18553565,0.08763715,4600.0,45,0.76685196,0.2,0.06
0.17436743,940.0,-16.76477,0.1857216,0.08760487,4700.0,46,0.76771957,0.25,0.21
0.1747333,960.0,-14.02325,0.18589315,0.08784806,4800.0,47,0.7685287,0.35,0.14
0.17490584,980.0,-15.185341,0.18605064,0.08804498,4900.0,48,0.7693121,0.45,0.09
0.17503546,1000.0,-21.014471,0.18616144,0.08825871,5000.0,49,0.7703708,0.1,0.12
0.1754142,1020.0,-15.049726,0.18624872,0.08883425,5100.0,50,0.77112556,0.45,0.09
0.17578386,1040.0,-16.347355,0.18627705,0.08918513,5200.0,51,0.77174824,0.4,0.13
0.17593725,1060.0,-20.99915,0.18634021,0.08985141,5300.0,52,0.77225584,0.1,0.12
0.17594002,1080.0,-16.634747,0.18642771,0.09008115,5400.0,53,0.7729435,0.3,0.08
0.17620023,1100.0,-17.02466,0.18646708,0.0906273,5500.0,54,0.7734105,0.45,0.17
0.17612994,1120.0,-16.565094,0.18652125,0.09076609,5600.0,55,0.7740155,0.4,0.09
0.1766992,1140.0,-18.152782,0.18654984,0.091320045,5700.0,56,0.7742047,0.35,0.1
0.17731504,1160.0,-22.636679,0.1865026,0.091617554,5800.0,57,0.77430505,0.05,0.12
0.1772481,1180.0,-14.18685,0.18650532,0.09195753,5900.0,58,0.77447623,0.3,0.19
0.17736559,1200.0,-17.444275,0.18656874,0.09215818,6000.0,59,0.77484703,0.35,0.11
0.17738564,1220.0,-16.359285,0.18655907,0.09254552,6100.0,60,0.7753473,0.45,0.12
0.17737652,1240.0,-19.434202,0.18656446,0.092668876,6200.0,61,0.7759002,0.15,0.13
0.17720427,1260.0,-18.35233,0.18666099,0.09281004,6300.0,62,0.77648085,0.3,0.09
0.17740828,1280.0,-13.81399,0.18669988,0.09303893,6400.0,63,0.7768042,0.5,0.16
0.17754854,1300.0,-10.111989,0.18668878,0.09346108,6500.0,64,0.77729994,0.45,0.11
0.1777078,1320.0,-14.331782,0.18668777,0.09371406,6600.0,65,0.7776819,0.4,0.08
0.17808212,1340.0,-15.618375,0.186826,0.09409496,6700.0,66,0.7782569,0.35,0.15
0.1779641,1360.0,-17.515238,0.18686633,0.09415265,6800.0,67,0.77864474,0.1,0.15
0.17831118,1380.0,-12.243162,0.186912,0.09444452,6900.0,68,0.7789116,0.3,0.14
0.17860328,1400.0,-13.405253,0.1870272,0.094874814,7000.0,69,0.77937126,0.4,0.12
0.17883493,1420.0,-15.389987,0.18706119,0.0950987,7100.0,70,0.77953416,0.4,0.12
0.17937247,1440.0,-17.130552,0.1870977,0.095553845,7200.0,71,0.7797739,0.25,0.13
0.1791935,1460.0,-20.814838,0.18715772,0.09563842,7300.0,72,0.7804621,0.05,0.2
0.17920893,1480.0,-16.057266,0.18716449,0.096103474,7400.0,73,0.7806404,0.35,0.13
0.17948769,1500.0,-13.070045,0.18721049,0.09635905,7500.0,74,0.7810271,0.35,0.18
0.17950547,1520.0,-17.94817,0.18722758,0.0964768,7600.0,75,0.7812741,0.3,0.18
0.1795811,1540.0,-12.593157,0.18728106,0.09673355,7700.0,76,0.78174645,0.55,0.22
0.17974329,1560.0,-15.528569,0.18729134,0.09692493,7800.0,77,0.7818146,0.35,0.16
0.1798384,1580.0,-15.283191,0.18731458,0.09694774,7900.0,78,0.78212833,0.5,0.16
0.17995751,1600.0,-13.170079,0.18734708,0.097169966,8000.0,79,0.7824325,0.5,0.18
0.18018524,1620.0,-23.392412,0.18741953,0.0972804,8100.0,80,0.78281254,0.2,0.16
0.18038571,1640.0,-15.2304125,0.18748775,0.09733424,8200.0,81,0.78319573,0.55,0.11
0.18044807,1660.0,-22.430147,0.1874962,0.09740294,8300.0,82,0.7834346,0.2,0.18
0.18031938,1680.0,-14.285067,0.18754968,0.097430855,8400.0,83,0.78376764,0.5,0.2
0.18041825,1700.0,-16.622309,0.18757772,0.097670525,8500.0,84,0.78392786,0.5,0.11
0.18031712,1720.0,-14.59584,0.18761484,0.09760003,8600.0,85,0.784215,0.5,0.16
0.18034877,1740.0,-17.47522,0.18760481,0.097668335,8700.0,86,0.7845598,0.55,0.18
0.1806391,1760.0,-13.193596,0.18762253,0.09783292,8800.0,87,0.78468114,0.5,0.22
0.18052842,1780.0,-14.783595,0.18766323,0.097930595,8900.0,88,0.78498095,0.5,0.18
0.18039441,1800.0,-14.794459,0.18771024,0.09782406,9000.0,89,0.7852673,0.45,0.28
0.1805818,1820.0,-13.205793,0.18769318,0.09792039,9100.0,90,0.7853554,0.45,0.17
0.18054982,1840.0,-18.151087,0.18769631,0.09799495,9200.0,91,0.7854448,0.35,0.2
0.18062083,1860.0,-15.142206,0.18775363,0.09803193,9300.0,92,0.78569156,0.45,0.26
0.1806159,1880.0,-18.772926,0.18780686,0.09804845,9400.0,93,0.7859195,0.2,0.23
0.18088122,1900.0,-16.251143,0.18779051,0.09822574,9500.0,94,0.7861163,0.45,0.14
0.18100382,1920.0,-17.5729,0.18785745,0.09848278,9600.0,95,0.7863388,0.45,0.2
0.18080598,1940.0,-17.0787,0.18788145,0.09851315,9700.0,96,0.78649825,0.4,0.19
0.18110855,1960.0,-13.782227,0.1879109,0.09871123,9800.0,97,0.7865084,0.45,0.09
0.18110363,1980.0,-16.364567,0.18791369,0.09878533,9900.0,98,0.7865686,0.45,0.23
0.18111114,2000.0,-12.999736,0.1879455,0.09881441,10000.0,99,0.78667265,0.65,0.2
0.1810214,2020.0,-17.052502,0.18797277,0.098860286,10100.0,100,0.7867735,0.4,0.18
0.1809423,2040.0,-15.214053,0.18799439,0.09892705,10200.0,101,0.78694445,0.5,0.17
0.18099718,2060.0,-16.86491,0.18805523,0.09898383,10300.0,102,0.78712654,0.35,0.23
0.18094599,2080.0,-16.699305,0.18813306,0.09900955,10400.0,103,0.78738755,0.4,0.12
0.18087964,2100.0,-18.13151,0.18813522,0.09894808,10500.0,104,0.78745395,0.3,0.21
0.18072659,2120.0,-16.240707,0.18816732,0.09887284,10600.0,105,0.78761196,0.55,0.2
0.18065314,2140.0,-18.105165,0.1881979,0.09882249,10700.0,106,0.7879071,0.4,0.17
0.18053518,2160.0,-15.054202,0.1882212,0.09875025,10800.0,107,0.7880742,0.55,0.15
0.18055664,2180.0,-15.617987,0.18823639,0.09880791,10900.0,108,0.78823334,0.45,0.15
0.1804228,2200.0,-13.306364,0.1882406,0.09882402,11000.0,109,0.78832334,0.55,0.22
0.18028454,2220.0,-18.326603,0.18822314,0.09890769,11100.0,110,0.7884378,0.45,0.19
0.18014254,2240.0,-15.154447,0.1882387,0.09884691,11200.0,111,0.7886958,0.55,0.29
0.1800933,2260.0,-11.997686,0.18822138,0.09880443,11300.0,112,0.7887433,0.65,0.24
0.18005742,2280.0,-16.808083,0.18823501,0.09882359,11400.0,113,0.7888358,0.4,0.23
0.18021728,2300.0,-10.35131,0.18821746,0.09892476,11500.0,114,0.7889227,0.65,0.19
0.18040349,2320.0,-12.922358,0.18822499,0.09901929,11600.0,115,0.78902847,0.6,0.09
0.18047084,2340.0,-9.116838,0.18819115,0.09896922,11700.0,116,0.7890889,0.8,0.24
0.18033731,2360.0,-17.423336,0.18821841,0.09890855,11800.0,117,0.7893216,0.35,0.19
0.18020445,2380.0,-9.088591,0.18821251,0.09884688,11900.0,118,0.789401,0.75,0.21
0.18012474,2400.0,-13.957716,0.1882273,0.09889455,12000.0,119,0.7896307,0.5,0.26
0.18017258,2420.0,-12.050668,0.188278,0.099037744,12100.0,120,0.78980464,0.65,0.21
0.18032134,2440.0,-11.30792,0.18826152,0.09916015,12200.0,121,0.7899823,0.55,0.21
0.18043776,2460.0,-14.210668,0.1882876,0.09918624,12300.0,122,0.79009,0.5,0.17
0.18052769,2480.0,-17.039577,0.18828823,0.09931309,12400.0,123,0.79028314,0.35,0.17
0.18044455,2500.0,-13.486653,0.18828762,0.099356584,12500.0,124,0.7905882,0.55,0.17
0.18051825,2520.0,-15.32292,0.18825293,0.09957118,12600.0,125,0.7906887,0.65,0.16
0.18077643,2540.0,-16.302208,0.18825532,0.09974664,12700.0,126,0.7907989,0.5,0.21
0.18062015,2560.0,-14.56693,0.18830694,0.09967341,12800.0,127,0.79116267,0.35,0.15
0.18053657,2580.0,-12.299482,0.18835294,0.09968055,12900.0,128,0.79132795,0.5,0.2
0.18057914,2600.0,-17.346596,0.18837105,0.09968341,13000.0,129,0.7915136,0.25,0.16
0.18055153,2620.0,-14.586902,0.18838364,0.09972402,13100.0,130,0.79171485,0.45,0.19
0.1806062,2640.0,-15.268422,0.18839931,0.099732846,13200.0,131,0.7918864,0.55,0.23
0.18048549,2660.0,-14.520302,0.18842268,0.09968224,13300.0,132,0.792036,0.5,0.24
0.18053168,2680.0,-12.633608,0.18847588,0.09966775,13400.0,133,0.7922129,0.5,0.17
0.18035132,2700.0,-11.86617,0.18846384,0.09961101,13500.0,134,0.792214,0.65,0.22
0.18037204,2720.0,-13.345754,0.18848501,0.0996181,13600.0,135,0.7923381,0.5,0.16
0.18052657,2740.0,-9.5210495,0.18846637,0.099698536,13700.0,136,0.79235464,0.85,0.19
0.18067928,2760.0,-15.356127,0.18846199,0.09983291,13800.0,137,0.7924798,0.45,0.19
0.18066286,2780.0,-14.786639,0.18846244,0.09987098,13900.0,138,0.7926336,0.35,0.21
0.18060267,2800.0,-10.362319,0.18848139,0.09981927,14000.0,139,0.7927157,0.75,0.2
0.18066865,2820.0,-14.154312,0.18848623,0.099855684,14100.0,140,0.79294086,0.4,0.21
0.18070799,2840.0,-15.52448,0.18848091,0.099946156,14200.0,141,0.79290277,0.4,0.18
0.18066424,2860.0,-13.810252,0.18846889,0.099936016,14300.0,142,0.79298776,0.55,0.25
0.18064551,2880.0,-16.778912,0.18847908,0.09990165,14400.0,143,0.7930064,0.4,0.19
0.18056154,2900.0,-12.516156,0.18849403,0.09988711,14500.0,144,0.7931526,0.7,0.2
0.18075494,2920.0,-14.86513,0.18846293,0.09998336,14600.0,145,0.7931509,0.5,0.17
0.18073522,2940.0,-14.021512,0.18847626,0.100045554,14700.0,146,0.79323703,0.5,0.19
0.18095863,2960.0,-16.24734,0.1885288,0.10014521,14800.0,147,0.7934635,0.35,0.19
0.1809098,2980.0,-13.449138,0.18852808,0.100160845,14900.0,148,0.7935501,0.7,0.21
0.18092139,3000.0,-18.015398,0.1885571,0.10017573,15000.0,149,0.7937233,0.25,0.16
0.18088858,3020.0,-16.01011,0.18857948,0.10015349,15100.0,150,0.7939289,0.4,0.24
0.18107657,3040.0,-19.481709,0.1885872,0.1002531,15200.0,151,0.7939057,0.35,0.18
0.1811192,3060.0,-17.595524,0.18859726,0.10026162,15300.0,152,0.79397964,0.35,0.24
0.18116729,3080.0,-16.804081,0.18857324,0.10033391,15400.0,153,0.7939646,0.35,0.21
0.18117805,3100.0,-14.75474,0.18857805,0.10034381,15500.0,154,0.79400486,0.5,0.22
0.18110211,3120.0,-13.634303,0.18857412,0.100384295,15600.0,155,0.7941764,0.45,0.29
0.18108948,3140.0,-22.146473,0.18857926,0.10040192,15700.0,156,0.79421353,0.15,0.15
0.18099757,3160.0,-15.90489,0.18857977,0.10043504,15800.0,157,0.7943101,0.55,0.18
0.18109716,3180.0,-10.935114,0.18859646,0.100481816,15900.0,158,0.794358,0.8,0.25
0.18100214,3200.0,-16.84508,0.18859977,0.10044891,16000.0,159,0.7945628,0.55,0.25
0.1810245,3220.0,-20.87594,0.18858962,0.10053502,16100.0,160,0.7946374,0.2,0.14
0.18119645,3240.0,-17.782032,0.18858501,0.100785516,16200.0,161,0.7946742,0.5,0.17
0.18111639,3260.0,-16.256649,0.18860129,0.10073058,16300.0,162,0.79483527,0.45,0.29
0.1813307,3280.0,-16.571604,0.18859337,0.10081946,16400.0,163,0.79485947,0.45,0.17
0.1814214,3300.0,-21.92565,0.18856353,0.100942224,16500.0,164,0.7949366,0.3,0.19
0.18134789,3320.0,-18.796679,0.1885588,0.10094781,16600.0,165,0.79500055,0.45,0.21
0.18129194,3340.0,-13.573919,0.18857022,0.100944564,16700.0,166,0.79506975,0.6,0.24
0.18126263,3360.0,-14.661777,0.18855019,0.100933865,16800.0,167,0.7951818,0.65,0.18
0.1812591,3380.0,-18.56779,0.18853998,0.10105788,16900.0,168,0.7952731,0.4,0.18
0.1812164,3400.0,-17.655201,0.18853821,0.10104034,17000.0,169,0.7953209,0.5,0.19
0.18121128,3420.0,-14.528064,0.18854389,0.10107348,17100.0,170,0.7953863,0.55,0.13
0.18117346,3440.0,-15.639539,0.18857512,0.101170644,17200.0,171,0.7955441,0.5,0.2
0.18112968,3460.0,-14.20162,0.1885942,0.10113473,17300.0,172,0.79569197,0.65,0.16
0.18110316,3480.0,-11.692286,0.18863173,0.10113654,17400.0,173,0.7959165,0.65,0.18
0.18108226,3500.0,-15.472302,0.18863828,0.1011599,17500.0,174,0.7960448,0.55,0.15
0.1810769,3520.0,-13.737839,0.18863592,0.10118542,17600.0,175,0.796213,0.7,0.19
0.18113016,3540.0,-12.943895,0.18863761,0.101204835,17700.0,176,0.7962482,0.5,0.21
0.18126976,3560.0,-15.221845,0.18866101,0.10126574,17800.0,177,0.79631275,0.55,0.18
0.18148647,3580.0,-17.525143,0.18867931,0.101372935,17900.0,178,0.7963898,0.55,0.18
0.18141478,3600.0,-18.623764,0.18869291,0.10130262,18000.0,179,0.7965407,0.45,0.2
0.18124819,3620.0,-15.369388,0.18871336,0.10123387,18100.0,180,0.7966601,0.55,0.16
0.18132228,3640.0,-18.601278,0.18869705,0.10130805,18200.0,181,0.79674417,0.35,0.15
0.18147342,3660.0,-15.604947,0.18870312,0.101476185,18300.0,182,0.7967791,0.55,0.22
0.18144011,3680.0,-18.325382,0.1887066,0.101451054,18400.0,183,0.7968418,0.35,0.3
0.18149589,3700.0,-19.925806,0.18872194,0.101470254,18500.0,184,0.7968633,0.4,0.18
0.18149722,3720.0,-14.004707,0.18874353,0.10150823,18600.0,185,0.7969518,0.6,0.24
0.18157078,3740.0,-12.492402,0.18874705,0.10153209,18700.0,186,0.79700476,0.7,0.28
0.18151726,3760.0,-18.457941,0.18876213,0.101533614,18800.0,187,0.79707605,0.5,0.25
0.18155341,3780.0,-18.179539,0.18879414,0.1015974,18900.0,188,0.7972291,0.5,0.25
0.18166302,3800.0,-15.456911,0.18879984,0.101674825,19000.0,189,0.7972402,0.55,0.27
0.18166733,3820.0,-13.872304,0.18880413,0.10169688,19100.0,190,0.79726195,0.75,0.24
0.18166478,3840.0,-16.586308,0.18882483,0.10174087,19200.0,191,0.797339,0.5,0.24
0.18183857,3860.0,-15.862254,0.1888318,0.10177743,19300.0,192,0.7973946,0.55,0.22
0.18184352,3880.0,-16.49033,0.18884459,0.10179046,19400.0,193,0.7974341,0.5,0.16
0.18178932,3900.0,-16.986996,0.18884096,0.101775676,19500.0,194,0.79749376,0.5,0.14
0.1817583,3920.0,-19.423,0.18882883,0.10173001,19600.0,195,0.7975214,0.3,0.24
0.18180685,3940.0,-17.556955,0.18884626,0.101739004,19700.0,196,0.79752684,0.45,0.25
0.1820019,3960.0,-15.40683,0.18883033,0.10172271,19800.0,197,0.79746217,0.55,0.22
0.18201701,3980.0,-12.148625,0.18881989,0.10177843,19900.0,198,0.79751825,0.45,0.22
0.1820062,4000.0,-11.978261,0.18881859,0.101762846,20000.0,199,0.7975497,0.65,0.16
0.18202098,4020.0,-12.040098,0.18882957,0.10181087,20100.0,200,0.7976044,0.75,0.17
0.18201046,4040.0,-18.271448,0.18885286,0.101802014,20200.0,201,0.7976551,0.5,0.29
0.1819917,4060.0,-16.01942,0.1888666,0.10181314,20300.0,202,0.7977214,0.45,0.19
0.18191694,4080.0,-17.106977,0.1888603,0.10175732,20400.0,203,0.7977299,0.55,0.27
0.1818711,4100.0,-18.520182,0.18887474,0.10175069,20500.0,204,0.797772,0.4,0.32
0.18181236,4120.0,-17.636852,0.18886562,0.10175998,20600.0,205,0.7977936,0.5,0.25
0.18182778,4140.0,-13.551745,0.1888718,0.10184446,20700.0,206,0.79783654,0.45,0.23
0.18184824,4160.0,-16.959972,0.18887013,0.101887986,20800.0,207,0.7978864,0.45,0.2
0.18180136,4180.0,-21.209894,0.18887903,0.10185069,20900.0,208,0.7979384,0.2,0.23
0.18188994,4200.0,-13.008893,0.18887118,0.101847954,21000.0,209,0.7979903,0.6,0.2
0.181982,4220.0,-12.58605,0.18882743,0.10188371,21100.0,210,0.7979508,0.55,0.22
0.18212216,4240.0,-14.567591,0.18881598,0.10196164,21200.0,211,0.79794526,0.6,0.23
0.18229093,4260.0,-15.998729,0.18879823,0.1020878,21300.0,212,0.79791623,0.35,0.29
0.1823297,4280.0,-15.614725,0.1887982,0.10215476,21400.0,213,0.79800147,0.5,0.32
0.1823367,4300.0,-22.165743,0.18879911,0.102145016,21500.0,214,0.7980928,0.45,0.21
0.18239254,4320.0,-17.187138,0.18880048,0.10221086,21600.0,215,0.7981481,0.2,0.16
0.18242265,4340.0,-14.265498,0.18879977,0.10225208,21700.0,216,0.7981729,0.5,0.22
0.18237282,4360.0,-13.915149,0.18881023,0.10224942,21800.0,217,0.79827493,0.5,0.22
0.18235354,4380.0,-15.857327,0.18883744,0.10225877,21900.0,218,0.7983983,0.45,0.27
0.1823801,4400.0,-11.874797,0.18882017,0.102269605,22000.0,219,0.7984505,0.75,0.2
0.18235922,4420.0,-13.132835,0.18881075,0.10227019,22100.0,220,0.79848367,0.7,0.2
0.1822974,4440.0,-8.951198,0.18880898,0.102256596,22200.0,221,0.79852074,0.75,0.26
0.18232723,4460.0,-13.256986,0.18880163,0.10227109,22300.0,222,0.7985396,0.55,0.26
0.18225892,4480.0,-10.301183,0.18879719,0.10223073,22400.0,223,0.7985942,0.75,0.25
0.18218796,4500.0,-12.983045,0.18881062,0.10225437,22500.0,224,0.79872847,0.65,0.16
0.18221472,4520.0,-14.073097,0.18880144,0.10234376,22600.0,225,0.7988189,0.55,0.22
0.18225212,4540.0,-10.160608,0.18879367,0.102425836,22700.0,226,0.79887015,0.75,0.19
0.18234558,4560.0,-10.32788,0.18880361,0.10248208,22800.0,227,0.7989667,0.65,0.16
0.1823166,4580.0,-12.82993,0.18881081,0.10252192,22900.0,228,0.79905677,0.45,0.3
0.18235666,4600.0,-13.390074,0.18881977,0.10260106,23000.0,229,0.7991,0.45,0.22
0.18229145,4620.0,-14.6425295,0.18880229,0.10261669,23100.0,230,0.79915094,0.4,0.16
0.18232895,4640.0,-12.680307,0.18881476,0.10268016,23200.0,231,0.7992844,0.6,0.2
0.1823033,4660.0,-11.108618,0.18883805,0.102724575,23300.0,232,0.7993699,0.65,0.18
0.18233757,4680.0,-9.233768,0.18884467,0.102877505,23400.0,233,0.79941744,0.65,0.18
0.18235664,4700.0,-10.238517,0.18885699,0.10285901,23500.0,234,0.7995117,0.6,0.19
0.18236499,4720.0,-13.4667,0.18885738,0.10287179,23600.0,235,0.7995623,0.45,0.21
0.18235828,4740.0,-12.719256,0.18888977,0.1028846,23700.0,236,0.79970026,0.7,0.1
0.18229513,4760.0,-8.318306,0.18890958,0.10291266,23800.0,237,0.7997846,0.65,0.16
0.1823302,4780.0,-11.470246,0.18891765,0.10291234,23900.0,238,0.79983944,0.4,0.23
0.18237424,4800.0,-11.712024,0.18892583,0.10293838,24000.0,239,0.7999045,0.45,0.16
0.18242782,4820.0,-11.388453,0.18892139,0.10295021,24100.0,240,0.799887,0.55,0.25
0.18242519,4840.0,-11.661726,0.1889389,0.102961004,24200.0,241,0.7999718,0.55,0.26
0.18242358,4860.0,-9.205863,0.18895052,0.10296878,24300.0,242,0.8000153,0.7,0.25
0.18235435,4880.0,-13.724292,0.18894576,0.10294816,24400.0,243,0.8000922,0.55,0.22
0.18233328,4900.0,-10.430728,0.18894829,0.10297267,24500.0,244,0.800144,0.6,0.25
0.1823511,4920.0,-15.668432,0.18894273,0.10298522,24600.0,245,0.8002372,0.4,0.2
0.18230392,4940.0,-17.933208,0.18895823,0.102934256,24700.0,246,0.80029964,0.35,0.23
0.18231386,4960.0,-10.430349,0.18895651,0.102960676,24800.0,247,0.8003132,0.65,0.31
0.18232161,4980.0,-9.443845,0.1889573,0.102921665,24900.0,248,0.80034465,0.75,0.22
0.18238235,5000.0,-15.331839,0.18896443,0.10293689,25000.0,249,0.8004203,0.5,0.2
0.18233387,5020.0,-13.440786,0.188988,0.10292516,25100.0,250,0.80054194,0.6,0.21
0.18232583,5040.0,-11.7997055,0.18901104,0.10290885,25200.0,251,0.800633,0.65,0.13
0.18232815,5060.0,-15.059527,0.18902549,0.10291974,25300.0,252,0.8007312,0.5,0.22
0.18234523,5080.0,-9.456911,0.1890355,0.10298458,25400.0,253,0.80080056,0.85,0.21
0.18227996,5100.0,-15.035667,0.18905444,0.10303365,25500.0,254,0.80091095,0.5,0.26
0.18221803,5120.0,-13.848434,0.18906745,0.10305032,25600.0,255,0.800982,0.6,0.25
0.18215223,5140.0,-12.917521,0.18908167,0.10305036,25700.0,256,0.8010554,0.65,0.22
0.1820714,5160.0,-12.149121,0.18911068,0.10305561,25800.0,257,0.80113095,0.65,0.19
0.18209189,5180.0,-9.746068,0.18911034,0.103046104,25900.0,258,0.80115634,0.6,0.2
0.18208872,5200.0,-9.2562685,0.1891281,0.10304682,26000.0,259,0.8012386,0.75,0.23
0.18208133,5220.0,-10.866553,0.189125,0.103047416,26100.0,260,0.8012069,0.55,0.27
0.1820737,5240.0,-11.214025,0.18913521,0.10304722,26200.0,261,0.80131435,0.6,0.18
0.18214846,5260.0,-9.826369,0.18913071,0.10313178,26300.0,262,0.8013525,0.7,0.19
0.18223631,5280.0,-17.12693,0.18913907,0.10321744,26400.0,263,0.801388,0.4,0.23
0.18229274,5300.0,-10.799142,0.18915239,0.1032568,26500.0,264,0.80150574,0.85,0.22
0.18231261,5320.0,-11.442883,0.18917616,0.103279315,26600.0,265,0.80164474,0.75,0.23
0.18231457,5340.0,-14.168367,0.18919384,0.10326626,26700.0,266,0.80168843,0.75,0.22
0.18247359,5360.0,-12.864449,0.18918791,0.10331928,26800.0,267,0.80166894,0.55,0.23
0.18245368,5380.0,-13.807421,0.18920569,0.10329175,26900.0,268,0.80170804,0.6,0.15
0.18243836,5400.0,-12.983394,0.18920286,0.103278734,27000.0,269,0.8017203,0.5,0.3
0.18244849,5420.0,-14.252812,0.18920094,0.10327809,27100.0,270,0.80170274,0.5,0.29
0.18259214,5440.0,-13.358847,0.18920515,0.103337705,27200.0,271,0.8017095,0.55,0.17
0.18255472,5460.0,-16.118734,0.18920894,0.10331893,27300.0,272,0.801733,0.35,0.23
0.1825236,5480.0,-15.4693165,0.18921098,0.103311785,27400.0,273,0.8017647,0.5,0.22
0.1825319,5500.0,-8.749296,0.18922654,0.10333701,27500.0,274,0.8017931,0.7,0.21
0.18252833,5520.0,-14.677572,0.18924065,0.103312045,27600.0,275,0.80186576,0.5,0.24
0.18249498,5540.0,-16.076885,0.18925065,0.10331906,27700.0,276,0.8019285,0.45,0.23
0.18251097,5560.0,-13.094721,0.18925872,0.10332027,27800.0,277,0.8019671,0.7,0.24
