test/success_rate,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/std,train/episode,stats_g/mean,stats_o/mean,test/episode
1.0,-0.4931261,63,0.08637164,0.75,0.02836208,1280.0,0.8773423,0.26307166,1280.0
1.0,-0.5226439,64,0.086439885,0.75,0.028396655,1300.0,0.8772614,0.2630514,1300.0
1.0,-0.45518637,65,0.08630842,0.85,0.028408835,1320.0,0.87719744,0.26302522,1320.0
1.0,-0.47746944,66,0.08623961,0.7,0.02840345,1340.0,0.8770965,0.26300573,1340.0
1.0,-0.49470925,67,0.08628694,0.7,0.02843599,1360.0,0.87690884,0.2629597,1360.0
1.0,-0.46270043,68,0.08612075,0.85,0.028421056,1380.0,0.87660164,0.2628892,1380.0
1.0,-0.4874805,69,0.08608929,0.95,0.028437695,1400.0,0.87657446,0.2628769,1400.0
1.0,-0.5305222,70,0.08615074,0.75,0.028465068,1420.0,0.87641853,0.26284185,1420.0
1.0,-0.51700556,71,0.08619516,0.85,0.028493846,1440.0,0.8765432,0.26287606,1440.0
1.0,-0.5020715,72,0.086169414,0.75,0.028499594,1460.0,0.8765816,0.26288697,1460.0
1.0,-0.53081596,73,0.08622387,0.7,0.028512742,1480.0,0.876568,0.2628817,1480.0
1.0,-0.45842466,74,0.08612349,0.85,0.028496617,1500.0,0.8766095,0.2628867,1500.0
1.0,-0.5027207,75,0.08612891,0.55,0.028521288,1520.0,0.87694114,0.2629683,1520.0
1.0,-0.55253357,76,0.08617157,0.8,0.028548097,1540.0,0.87684727,0.26294416,1540.0
1.0,-0.5231205,77,0.08618969,0.85,0.02856786,1560.0,0.8768961,0.26295584,1560.0
1.0,-0.5524038,78,0.08625904,0.85,0.028612282,1580.0,0.8768557,0.2629578,1580.0
1.0,-0.48228264,79,0.0862106,0.7,0.028607752,1600.0,0.8769652,0.26297668,1600.0
1.0,-0.46442023,80,0.08615046,0.7,0.028606623,1620.0,0.8768671,0.2629537,1620.0
1.0,-0.50472885,81,0.08616369,0.7,0.028622825,1640.0,0.876712,0.26290977,1640.0
1.0,-0.49640307,82,0.08612901,0.85,0.028613439,1660.0,0.8765197,0.26286778,1660.0
1.0,-0.49323502,83,0.086119115,0.65,0.02862383,1680.0,0.87646776,0.2628731,1680.0
1.0,-0.4603754,84,0.08600179,0.9,0.028608063,1700.0,0.8762815,0.26281196,1700.0
1.0,-0.55025816,85,0.08604911,0.6,0.028622717,1720.0,0.87629694,0.26282078,1720.0
1.0,-0.54898095,86,0.0861482,0.7,0.028638903,1740.0,0.87620884,0.26280218,1740.0
1.0,-0.5506062,87,0.08625766,0.8,0.02866685,1760.0,0.8763423,0.2628389,1760.0
1.0,-0.4800867,88,0.086188294,0.95,0.028655043,1780.0,0.8763302,0.26284444,1780.0
1.0,-0.4967597,89,0.08618898,0.8,0.028672416,1800.0,0.8762293,0.2628228,1800.0
1.0,-0.5379013,90,0.08618588,0.75,0.028677035,1820.0,0.87620974,0.2628279,1820.0
