stats_o/std,stats_g/mean,stats_g/std,train/episode,test/success_rate,epoch,test/mean_Q,train/success_rate,stats_o/mean,test/episode
0.030478168,0.87759495,0.08463374,1280.0,1.0,63,-0.061049752,0.9,0.26320484,1280.0
0.030501354,0.87749904,0.08472064,1300.0,1.0,64,-0.08602811,0.8,0.2631876,1300.0
0.030494248,0.8773945,0.084695846,1320.0,1.0,65,-0.0065553985,0.8,0.26314792,1320.0
0.030479115,0.87728786,0.08464267,1340.0,1.0,66,-0.036204062,0.7,0.26312226,1340.0
0.030498004,0.8770346,0.08475634,1360.0,1.0,67,-0.043341305,0.65,0.26306477,1360.0
0.030474093,0.87670183,0.08466198,1380.0,1.0,68,-0.03063266,0.75,0.26298225,1380.0
0.030477142,0.8766465,0.08464179,1400.0,1.0,69,-0.056449305,0.85,0.2629683,1400.0
0.03049821,0.876486,0.08473008,1420.0,1.0,70,-0.057750292,0.75,0.26293224,1420.0
0.030515173,0.8765807,0.084772766,1440.0,1.0,71,-0.06299943,0.8,0.26295966,1440.0
0.03050761,0.8765994,0.08475185,1460.0,1.0,72,-0.068518505,0.7,0.26296863,1460.0
0.030519139,0.87655514,0.08477653,1480.0,1.0,73,-0.046144277,0.75,0.26296058,1480.0
0.030492771,0.876576,0.084691435,1500.0,1.0,74,-0.05868311,0.8,0.26296464,1500.0
0.03050604,0.8769167,0.08474579,1520.0,1.0,75,-0.028040227,0.7,0.26305324,1520.0
0.03052492,0.8768125,0.08480773,1540.0,1.0,76,-0.06430094,0.7,0.2630259,1540.0
0.030542051,0.8768831,0.08485965,1560.0,1.0,77,-0.05997952,0.85,0.26304138,1560.0
0.03058202,0.8768787,0.084984094,1580.0,1.0,78,-0.050349187,0.7,0.26304272,1580.0
0.030568164,0.8769669,0.08493609,1600.0,1.0,79,-0.06603465,0.75,0.26306337,1600.0
0.030553872,0.87688327,0.08488951,1620.0,1.0,80,-0.027962252,0.7,0.26304302,1620.0
0.030559987,0.876718,0.084917895,1640.0,1.0,81,-0.04901299,0.75,0.26299715,1640.0
0.030546492,0.87653226,0.08488492,1660.0,1.0,82,-0.044032387,0.85,0.2629484,1660.0
0.030552763,0.87653655,0.0849064,1680.0,1.0,83,-0.07280797,0.75,0.26295453,1680.0
0.030531788,0.8763307,0.08481691,1700.0,1.0,84,-0.015398431,0.85,0.26289356,1700.0
0.030540392,0.8763451,0.08484403,1720.0,1.0,85,-0.09010061,0.7,0.26289874,1720.0
0.030563314,0.8762617,0.0849377,1740.0,1.0,86,-0.065666065,0.8,0.2628773,1740.0
0.030586785,0.8763996,0.085021175,1760.0,1.0,87,-0.08464023,0.75,0.26291806,1760.0
0.030573502,0.87641114,0.084987104,1780.0,1.0,88,-0.019069621,0.9,0.2629194,1780.0
0.030585285,0.87634206,0.08502699,1800.0,1.0,89,-0.06027197,0.75,0.26289886,1800.0
0.030585807,0.87632656,0.08503282,1820.0,1.0,90,-0.0560354,0.85,0.262898,1820.0
0.030591477,0.8763346,0.08505819,1840.0,1.0,91,-0.05817607,0.8,0.2629021,1840.0
0.030604195,0.87623054,0.08512781,1860.0,1.0,92,-0.05842942,0.8,0.26287222,1860.0
0.030600045,0.87604207,0.08511561,1880.0,1.0,93,-0.05237949,0.8,0.26282236,1880.0
0.030615872,0.87609917,0.08516679,1900.0,1.0,94,-0.055280782,0.85,0.26283878,1900.0
0.030609418,0.8759598,0.0851402,1920.0,1.0,95,-0.024348732,0.6,0.26280266,1920.0
0.030618858,0.876116,0.08517671,1940.0,1.0,96,-0.043903727,0.6,0.26284054,1940.0
0.030614566,0.87616867,0.08516687,1960.0,1.0,97,-0.045484748,0.75,0.26286197,1960.0
