test/episode,test/mean_Q,epoch,stats_o/mean,stats_g/mean,test/success_rate,stats_o/std,train/episode,stats_g/std,train/success_rate
1280.0,-16.155445,63,0.20442303,0.84368205,0.45,0.10237377,6400.0,0.098442025,0.34
1300.0,-13.3672285,64,0.20436664,0.84359527,0.35,0.102690436,6500.0,0.09845803,0.35
1320.0,-16.784676,65,0.20435305,0.84354705,0.35,0.10306366,6600.0,0.09850993,0.23
1340.0,-20.863539,66,0.20432459,0.8435464,0.35,0.103657156,6700.0,0.098698504,0.28
1360.0,-23.305698,67,0.20431444,0.84349734,0.35,0.104055226,6800.0,0.09871155,0.34
1380.0,-20.745176,68,0.20429121,0.84341717,0.3,0.10435721,6900.0,0.098654054,0.36
1400.0,-17.119646,69,0.20439985,0.8434834,0.6,0.104837134,7000.0,0.098742954,0.27
1420.0,-25.812454,70,0.2044148,0.8434682,0.4,0.1050815,7100.0,0.0986411,0.42
1440.0,-13.867932,71,0.20447211,0.8435615,0.55,0.10532805,7200.0,0.0986335,0.36
1460.0,-15.398447,72,0.20447369,0.8435529,0.55,0.10572894,7300.0,0.09873248,0.27
1480.0,-13.441388,73,0.20444433,0.843538,0.65,0.10606576,7400.0,0.09882785,0.37
1500.0,-10.995969,74,0.20438282,0.84351534,0.75,0.10642427,7500.0,0.098876886,0.43
1520.0,-16.29214,75,0.20437226,0.8434808,0.45,0.10662055,7600.0,0.09888655,0.51
1540.0,-20.68062,76,0.20440271,0.84349734,0.35,0.1066359,7700.0,0.098783106,0.46
1560.0,-14.395126,77,0.2043903,0.84346026,0.55,0.106681585,7800.0,0.09872904,0.43
1580.0,-23.652002,78,0.20441931,0.84344196,0.4,0.10671991,7900.0,0.0988398,0.47
1600.0,-16.961994,79,0.20438242,0.8435154,0.6,0.106773764,8000.0,0.09887936,0.38
1620.0,-12.931139,80,0.20435102,0.8434394,0.6,0.106847554,8100.0,0.098908156,0.45
1640.0,-18.44241,81,0.20437132,0.84346443,0.55,0.10711672,8200.0,0.0989094,0.41
1660.0,-10.647647,82,0.2043502,0.8434585,0.75,0.107116826,8300.0,0.09898144,0.5
1680.0,-18.058094,83,0.20431873,0.843471,0.45,0.1073924,8400.0,0.09902122,0.42
1700.0,-17.416142,84,0.20430143,0.84355694,0.6,0.10751006,8500.0,0.09904114,0.37
1720.0,-18.977457,85,0.20430656,0.8435617,0.5,0.10770229,8600.0,0.099045314,0.45
1740.0,-14.431818,86,0.20429379,0.84357595,0.7,0.1077915,8700.0,0.09902307,0.48
1760.0,-12.498194,87,0.20424905,0.8435336,0.7,0.10785294,8800.0,0.09896775,0.4
1780.0,-16.795893,88,0.20420082,0.8434879,0.4,0.10788801,8900.0,0.09912004,0.45
1800.0,-21.507256,89,0.20420921,0.84349704,0.45,0.107935876,9000.0,0.09909328,0.42
1820.0,-20.94247,90,0.20416826,0.84346884,0.45,0.1079939,9100.0,0.09903944,0.42
1840.0,-18.64001,91,0.20417805,0.84346837,0.45,0.1082299,9200.0,0.09915766,0.51
1860.0,-24.368685,92,0.20415683,0.8434704,0.4,0.10822538,9300.0,0.09904631,0.51
1880.0,-19.94361,93,0.20412426,0.84346193,0.5,0.108330935,9400.0,0.098926194,0.53
