test/success_rate,stats_o/std,stats_o/mean,test/episode,train/episode,epoch,train/success_rate,test/mean_Q,stats_g/mean,stats_g/std
0.2,0.09055227,0.20366126,1280.0,6400.0,63,0.13,-21.506113,0.8447282,0.10125498
0.1,0.09117572,0.20368437,1300.0,6500.0,64,0.08,-19.3314,0.8447048,0.10145221
0.05,0.091686495,0.20377332,1320.0,6600.0,65,0.08,-21.50263,0.8447463,0.101385266
0.1,0.09210773,0.20373374,1340.0,6700.0,66,0.12,-24.167635,0.844763,0.101376176
0.1,0.0922794,0.20369789,1360.0,6800.0,67,0.13,-26.89418,0.8448027,0.10129581
0.1,0.09270948,0.20368364,1380.0,6900.0,68,0.18,-23.442877,0.8448023,0.101225354
0.15,0.093157746,0.20375894,1400.0,7000.0,69,0.16,-23.617903,0.8448672,0.10130852
0.05,0.09370256,0.20384236,1420.0,7100.0,70,0.19,-30.265223,0.84483576,0.10157373
0.2,0.09403209,0.20389439,1440.0,7200.0,71,0.11,-16.830067,0.84495115,0.101636924
0.2,0.094422534,0.20397206,1460.0,7300.0,72,0.12,-20.910997,0.84506875,0.10147811
0.1,0.09476114,0.20390812,1480.0,7400.0,73,0.12,-20.411007,0.8451457,0.10142535
0.1,0.0950978,0.20390578,1500.0,7500.0,74,0.15,-17.878506,0.8451016,0.101487674
0.2,0.0954551,0.20394841,1520.0,7600.0,75,0.23,-21.054173,0.8451279,0.10149675
0.25,0.096053295,0.20386639,1540.0,7700.0,76,0.21,-22.531462,0.84513664,0.10145835
0.15,0.09640969,0.20388836,1560.0,7800.0,77,0.22,-17.793575,0.8451297,0.10149336
0.1,0.096895024,0.20387487,1580.0,7900.0,78,0.17,-26.569967,0.8450055,0.10172701
0.25,0.09711442,0.20389618,1600.0,8000.0,79,0.26,-21.7813,0.8450744,0.10187086
0.15,0.09759594,0.20385914,1620.0,8100.0,80,0.2,-17.158691,0.8449957,0.10211033
0.25,0.09793943,0.2039028,1640.0,8200.0,81,0.13,-20.877056,0.8450708,0.102226324
0.5,0.09848768,0.20392665,1660.0,8300.0,82,0.19,-14.258474,0.8451471,0.10246781
0.3,0.09902733,0.20394698,1680.0,8400.0,83,0.22,-20.28184,0.8451927,0.102916606
0.25,0.09935543,0.20392406,1700.0,8500.0,84,0.15,-19.82163,0.84526294,0.102980584
0.3,0.0997745,0.20392153,1720.0,8600.0,85,0.23,-20.250977,0.845277,0.103041925
0.5,0.10023075,0.20391569,1740.0,8700.0,86,0.2,-17.594576,0.8453453,0.10302354
0.3,0.10061515,0.20397261,1760.0,8800.0,87,0.21,-19.2001,0.84527946,0.10309824
0.2,0.10087871,0.20397638,1780.0,8900.0,88,0.16,-21.297985,0.8453044,0.103083365
0.25,0.10106515,0.20397316,1800.0,9000.0,89,0.21,-22.127642,0.8452778,0.10323695
0.25,0.10140964,0.20401119,1820.0,9100.0,90,0.19,-23.483189,0.8452695,0.10352268
0.4,0.10189799,0.20404495,1840.0,9200.0,91,0.17,-18.226679,0.84525794,0.10369562
0.3,0.1023756,0.2040791,1860.0,9300.0,92,0.29,-24.641668,0.84528184,0.10388594
0.3,0.102774985,0.20405403,1880.0,9400.0,93,0.28,-21.099285,0.8452638,0.103931956
0.25,0.10318885,0.20404541,1900.0,9500.0,94,0.22,-23.358376,0.84516245,0.1039451
