train/success_rate,stats_o/std,stats_o/mean,stats_g/std,test/mean_Q,test/success_rate,test/episode,epoch,stats_g/mean,train/episode
0.49,0.114896424,0.20553999,0.09657124,-1.3869679,0.95,5540.0,276,0.84541607,27700.0
0.65,0.11486434,0.20556955,0.096561395,-2.1312513,0.9,5560.0,277,0.8454409,27800.0
0.47,0.11488782,0.2055805,0.09659925,-5.7281103,0.7,5580.0,278,0.8454775,27900.0
0.58,0.11483878,0.20558864,0.09657916,-4.617511,0.75,5600.0,279,0.8454721,28000.0
0.62,0.114857435,0.20558566,0.09660474,-2.018787,0.75,5620.0,280,0.8454773,28100.0
0.63,0.114823446,0.20559758,0.09658181,-2.240293,0.95,5640.0,281,0.84549934,28200.0
0.56,0.114779495,0.20560992,0.09655555,-3.3494797,0.9,5660.0,282,0.8455065,28300.0
0.59,0.114797175,0.20562933,0.09655254,-4.0517035,0.8,5680.0,283,0.84554714,28400.0
0.59,0.11478505,0.20565447,0.09654575,-3.8656602,0.8,5700.0,284,0.84557134,28500.0
0.57,0.11480334,0.20567942,0.096561246,-2.249146,0.95,5720.0,285,0.84560615,28600.0
0.47,0.11479265,0.20570269,0.09663742,-3.2144127,0.85,5740.0,286,0.8456128,28700.0
0.6,0.11475741,0.20572524,0.09666452,-4.925824,0.7,5760.0,287,0.84563345,28800.0
0.6,0.11477859,0.20575197,0.09667652,-2.6559052,1.0,5780.0,288,0.84563357,28900.0
0.54,0.114771254,0.20574647,0.09671205,-3.1086464,0.8,5800.0,289,0.8456516,29000.0
0.56,0.11475342,0.20575362,0.09671936,-3.1108606,0.8,5820.0,290,0.8456705,29100.0
0.56,0.114786856,0.20577656,0.09673396,-2.0376632,0.9,5840.0,291,0.84569603,29200.0
0.5,0.11483149,0.20578098,0.096773565,-1.2529342,1.0,5860.0,292,0.84572166,29300.0
0.61,0.114829786,0.2057966,0.09678126,-3.0958323,0.85,5880.0,293,0.8457596,29400.0
0.65,0.11482495,0.20580767,0.09676359,-1.1654689,1.0,5900.0,294,0.845768,29500.0
0.61,0.11482058,0.20581014,0.09680476,-1.8551124,0.8,5920.0,295,0.8457764,29600.0
0.52,0.11482858,0.20583166,0.09683683,-1.5514064,0.95,5940.0,296,0.8458273,29700.0
0.58,0.11479572,0.20583378,0.09685456,-1.6635948,0.9,5960.0,297,0.845838,29800.0
0.63,0.11477871,0.20583603,0.09683764,-1.5835475,1.0,5980.0,298,0.8458705,29900.0
0.62,0.114790976,0.20581943,0.09684563,-1.852998,0.95,6000.0,299,0.84584147,30000.0
0.54,0.11477675,0.20582703,0.09685847,-1.6362079,0.95,6020.0,300,0.8458603,30100.0
0.61,0.11477933,0.20582879,0.0968695,-3.1808162,0.65,6040.0,301,0.845861,30200.0
0.57,0.1148174,0.20584509,0.09688324,-1.7791469,0.9,6060.0,302,0.84590083,30300.0
0.6,0.1148001,0.20586762,0.09688827,-2.1752262,0.85,6080.0,303,0.84593743,30400.0
0.62,0.1148141,0.20587176,0.09687761,-1.9206917,0.85,6100.0,304,0.8459665,30500.0
0.6,0.114791095,0.20587745,0.09688816,-2.176828,0.85,6120.0,305,0.8460054,30600.0
0.55,0.11478835,0.20586857,0.096904926,-2.101769,0.9,6140.0,306,0.8460483,30700.0
0.46,0.1147822,0.20586361,0.09691272,-1.3285897,0.9,6160.0,307,0.846086,30800.0
0.58,0.11477024,0.20587485,0.09691795,-1.1997669,1.0,6180.0,308,0.8460965,30900.0
