train/success_rate,stats_o/std,stats_o/mean,stats_g/std,test/mean_Q,test/success_rate,test/episode,epoch,stats_g/mean,train/episode
0.33,0.09987919,0.20375673,0.09538891,-18.428339,0.35,1280.0,63,0.8436014,6400.0
0.28,0.100568384,0.20380835,0.09534532,-14.285273,0.5,1300.0,64,0.84355307,6500.0
0.26,0.10132762,0.20374174,0.09534206,-15.445348,0.45,1320.0,65,0.8435042,6600.0
0.27,0.102166824,0.2037291,0.09539283,-20.782053,0.3,1340.0,66,0.84356743,6700.0
0.33,0.10263592,0.2036966,0.09555671,-19.795399,0.35,1360.0,67,0.84353393,6800.0
0.37,0.103189304,0.2037342,0.09549385,-18.948856,0.3,1380.0,68,0.84343696,6900.0
0.36,0.10370169,0.20366524,0.09564787,-18.04844,0.4,1400.0,69,0.8434585,7000.0
0.38,0.104180835,0.20372996,0.09569492,-21.868845,0.3,1420.0,70,0.84348077,7100.0
0.36,0.104676954,0.20369023,0.09586364,-12.6796665,0.6,1440.0,71,0.8435557,7200.0
0.3,0.10500829,0.20373796,0.09594524,-15.460512,0.55,1460.0,72,0.8436733,7300.0
0.33,0.10538456,0.2037661,0.09590202,-14.370966,0.6,1480.0,73,0.843738,7400.0
0.42,0.105674915,0.20376913,0.095899194,-9.809862,0.6,1500.0,74,0.8436854,7500.0
0.38,0.10608098,0.203795,0.09604681,-15.587293,0.5,1520.0,75,0.8436478,7600.0
0.45,0.10627072,0.20393151,0.095961355,-19.59341,0.4,1540.0,76,0.8436856,7700.0
0.44,0.10642052,0.20397156,0.095898144,-14.205414,0.5,1560.0,77,0.843663,7800.0
0.41,0.1067491,0.20402147,0.09593216,-21.07322,0.4,1580.0,78,0.84361124,7900.0
0.42,0.106786735,0.20402056,0.09593209,-16.916914,0.5,1600.0,79,0.8436732,8000.0
0.42,0.10694237,0.2039901,0.09595331,-12.203165,0.55,1620.0,80,0.8436199,8100.0
0.42,0.107362956,0.20400128,0.09616069,-17.610714,0.45,1640.0,81,0.84367436,8200.0
0.43,0.10759217,0.20405947,0.09606431,-12.188975,0.6,1660.0,82,0.8437166,8300.0
0.4,0.10787273,0.20404801,0.09611679,-19.330809,0.4,1680.0,83,0.84371454,8400.0
0.34,0.10789408,0.20410341,0.09609771,-16.166636,0.6,1700.0,84,0.8437875,8500.0
0.44,0.10819841,0.20418206,0.0961107,-18.539007,0.35,1720.0,85,0.8437322,8600.0
0.45,0.10852764,0.20416151,0.096039005,-14.661853,0.6,1740.0,86,0.8437479,8700.0
0.38,0.10872513,0.20409927,0.095981054,-12.410109,0.55,1760.0,87,0.8436944,8800.0
0.37,0.10900538,0.20419946,0.09595424,-16.897232,0.4,1780.0,88,0.8436899,8900.0
0.39,0.10915546,0.20421337,0.09597946,-22.47407,0.35,1800.0,89,0.8437171,9000.0
0.4,0.10931716,0.20427147,0.09609163,-19.41074,0.35,1820.0,90,0.8437454,9100.0
0.41,0.1095768,0.20433216,0.09607691,-20.554089,0.35,1840.0,91,0.8437795,9200.0
0.49,0.109815285,0.20444345,0.09610901,-23.512531,0.4,1860.0,92,0.8437891,9300.0
0.48,0.110195644,0.2045551,0.0961488,-19.495323,0.5,1880.0,93,0.84378,9400.0
0.39,0.11021109,0.20455796,0.09607569,-21.672764,0.35,1900.0,94,0.8437093,9500.0
0.4,0.1103821,0.20464729,0.09606015,-14.271665,0.6,1920.0,95,0.84370494,9600.0
0.42,0.11052001,0.20464067,0.095992684,-14.011602,0.45,1940.0,96,0.843744,9700.0
0.35,0.110561,0.20467222,0.09592378,-18.206064,0.4,1960.0,97,0.8437891,9800.0
0.48,0.11068573,0.2046915,0.09592166,-17.804966,0.45,1980.0,98,0.8438633,9900.0
0.48,0.11076812,0.20474416,0.09595094,-21.607277,0.35,2000.0,99,0.8438783,10000.0
0.48,0.11090107,0.20477985,0.0959188,-13.2048855,0.5,2020.0,100,0.84385484,10100.0
