test/success_rate,train/episode,stats_o/mean,stats_g/std,test/mean_Q,stats_g/mean,test/episode,epoch,train/success_rate,stats_o/std
0.45,6400.0,0.18992458,0.16848548,-12.675959,0.80332136,1280.0,63,0.21,0.090675004
0.55,6500.0,0.18996857,0.16812329,-10.373039,0.8038428,1300.0,64,0.15,0.09061874
0.25,6600.0,0.19007975,0.16811748,-12.250992,0.80433345,1320.0,65,0.12,0.09062205
0.65,6700.0,0.19021831,0.16781195,-11.115404,0.80474716,1340.0,66,0.12,0.09056064
0.55,6800.0,0.19034924,0.1674817,-13.235016,0.8050956,1360.0,67,0.19,0.09070342
0.75,6900.0,0.1903933,0.16738002,-9.375694,0.8055012,1380.0,68,0.17,0.09069786
0.2,7000.0,0.19053821,0.1671456,-13.5000105,0.8059573,1400.0,69,0.16,0.0908818
0.25,7100.0,0.19060409,0.16706967,-14.8329315,0.8060182,1420.0,70,0.15,0.09090627
0.3,7200.0,0.19068684,0.16696872,-16.33272,0.80634826,1440.0,71,0.13,0.09084548
0.3,7300.0,0.19076933,0.16667475,-14.76919,0.8068361,1460.0,72,0.11,0.09082917
0.4,7400.0,0.19087923,0.16651298,-12.017991,0.8071082,1480.0,73,0.18,0.09081473
0.4,7500.0,0.19095741,0.16611053,-12.272573,0.8074054,1500.0,74,0.23,0.09072739
0.3,7600.0,0.19101028,0.16602778,-15.716083,0.80741507,1520.0,75,0.14,0.090804376
0.6,7700.0,0.19106492,0.16592856,-11.137405,0.8077457,1540.0,76,0.2,0.09080283
0.5,7800.0,0.19111624,0.16590837,-14.933409,0.8079161,1560.0,77,0.17,0.09081005
0.4,7900.0,0.19113913,0.16561548,-13.355023,0.80816865,1580.0,78,0.16,0.09072187
0.55,8000.0,0.19118778,0.1656382,-12.415365,0.808378,1600.0,79,0.16,0.09069888
0.4,8100.0,0.19127163,0.16542414,-16.26289,0.80858415,1620.0,80,0.12,0.090715885
0.15,8200.0,0.1913824,0.16548721,-16.45552,0.80894256,1640.0,81,0.12,0.090737574
0.15,8300.0,0.19148484,0.16525681,-20.47446,0.80924255,1660.0,82,0.2,0.09070631
0.1,8400.0,0.19152927,0.16532029,-19.032145,0.80934167,1680.0,83,0.14,0.09071532
0.3,8500.0,0.19159254,0.1651686,-17.184834,0.8096706,1700.0,84,0.18,0.090646125
0.5,8600.0,0.19167718,0.16498172,-11.777054,0.8100152,1720.0,85,0.15,0.090795346
0.55,8700.0,0.19173664,0.16459036,-12.802023,0.81030035,1740.0,86,0.19,0.09070275
0.7,8800.0,0.19177891,0.16431922,-9.985386,0.81054217,1760.0,87,0.21,0.090634175
0.4,8900.0,0.19181982,0.16441986,-11.928247,0.8106778,1780.0,88,0.24,0.090666816
0.3,9000.0,0.19192986,0.16421607,-12.373832,0.8111212,1800.0,89,0.19,0.09062512
0.3,9100.0,0.19197676,0.16382293,-15.136927,0.8114894,1820.0,90,0.14,0.09056748
0.55,9200.0,0.19198109,0.16377746,-11.148485,0.8115986,1840.0,91,0.16,0.090521075
