train/success_rate,test/mean_Q,test/success_rate,epoch,stats_g/mean,stats_g/std,stats_o/std,train/episode,stats_o/mean,test/episode
0.22,-17.252964,0.2,63,0.83707684,0.07824556,0.069003746,6400.0,0.20118585,1280.0
0.16,-20.034662,0.2,64,0.8369964,0.07810682,0.06923043,6500.0,0.20114277,1300.0
0.22,-21.987797,0.0,65,0.83703715,0.07797102,0.06940464,6600.0,0.20112306,1320.0
0.17,-15.645859,0.3,66,0.8369062,0.07795555,0.07005188,6700.0,0.20112297,1340.0
0.18,-17.34231,0.2,67,0.83691454,0.07793886,0.070447385,6800.0,0.2011069,1360.0
0.17,-19.81695,0.25,68,0.8368907,0.0779283,0.0709536,6900.0,0.20107481,1380.0
0.25,-17.390148,0.2,69,0.83687615,0.07797741,0.071635276,7000.0,0.20108098,1400.0
0.25,-20.202103,0.15,70,0.8368755,0.07797513,0.0724667,7100.0,0.20101398,1420.0
0.27,-17.562475,0.2,71,0.83684355,0.0779429,0.07341654,7200.0,0.20102522,1440.0
0.3,-17.79259,0.3,72,0.8369095,0.07787236,0.07404242,7300.0,0.20105551,1460.0
0.18,-14.761249,0.3,73,0.8369449,0.07772823,0.074471205,7400.0,0.20106533,1480.0
0.25,-11.644787,0.4,74,0.83692306,0.077631176,0.07497822,7500.0,0.20109116,1500.0
0.21,-12.119477,0.4,75,0.8369821,0.07748925,0.07540915,7600.0,0.20112558,1520.0
0.26,-14.004855,0.35,76,0.8369728,0.07748756,0.07586065,7700.0,0.20107052,1540.0
0.31,-16.712393,0.2,77,0.83693844,0.07748699,0.07633025,7800.0,0.20102765,1560.0
0.43,-15.359279,0.35,78,0.83701247,0.07749708,0.07696372,7900.0,0.20103736,1580.0
0.39,-12.195943,0.55,79,0.83704334,0.07751696,0.07732722,8000.0,0.20103121,1600.0
0.39,-16.591938,0.25,80,0.8370604,0.07739523,0.07783862,8100.0,0.20105633,1620.0
0.41,-10.962212,0.55,81,0.83702344,0.07741624,0.07833699,8200.0,0.20104435,1640.0
0.33,-14.302637,0.3,82,0.8370457,0.07729296,0.07857571,8300.0,0.20108931,1660.0
0.3,-10.457635,0.6,83,0.8371298,0.07720212,0.07951315,8400.0,0.20109683,1680.0
0.37,-9.353477,0.6,84,0.8372081,0.07718387,0.079895,8500.0,0.20112672,1700.0
0.32,-10.652749,0.6,85,0.8372441,0.07723735,0.08064101,8600.0,0.20111656,1720.0
0.41,-12.286859,0.4,86,0.8372972,0.07714329,0.080952585,8700.0,0.2010633,1740.0
0.36,-10.0866785,0.6,87,0.8372714,0.0772058,0.08147892,8800.0,0.20104523,1760.0
0.49,-9.452564,0.4,88,0.8373468,0.077140436,0.081798166,8900.0,0.20107445,1780.0
0.47,-10.211126,0.55,89,0.8373911,0.077082954,0.08210592,9000.0,0.20110121,1800.0
0.36,-8.889748,0.6,90,0.83739066,0.07731322,0.082541555,9100.0,0.20114304,1820.0
0.42,-14.162689,0.45,91,0.8374304,0.0771963,0.08295067,9200.0,0.20116147,1840.0
0.59,-8.98474,0.7,92,0.83746076,0.077199504,0.08330012,9300.0,0.20117131,1860.0
0.51,-8.296106,0.7,93,0.8375489,0.07709826,0.08344013,9400.0,0.20119388,1880.0
0.48,-8.616796,0.6,94,0.8375383,0.07703158,0.08387471,9500.0,0.20123182,1900.0
0.51,-5.7451487,0.7,95,0.83750683,0.07702764,0.084263355,9600.0,0.20126039,1920.0
0.58,-10.230558,0.45,96,0.83754927,0.07707285,0.08463872,9700.0,0.20131145,1940.0
0.69,-8.298704,0.65,97,0.8376277,0.07708412,0.084996134,9800.0,0.20133732,1960.0
0.64,-6.495012,0.65,98,0.8376798,0.07704508,0.08536418,9900.0,0.20135403,1980.0
0.66,-6.5234833,0.65,99,0.8376935,0.07696984,0.08582366,10000.0,0.20135969,2000.0
0.67,-6.2738485,0.75,100,0.837743,0.07694597,0.08647322,10100.0,0.20135826,2020.0
0.68,-2.8871922,0.95,101,0.83770704,0.07688423,0.08696186,10200.0,0.2013848,2040.0
0.69,-4.283071,0.85,102,0.83772326,0.0769404,0.08747786,10300.0,0.20142788,2060.0
0.66,-3.8005161,0.65,103,0.8377287,0.07705251,0.0879611,10400.0,0.20137535,2080.0
0.62,-4.8045397,0.75,104,0.8377719,0.076969646,0.088464454,10500.0,0.20141192,2100.0
0.7,-4.3284984,0.75,105,0.83781576,0.07686902,0.088876724,10600.0,0.20146161,2120.0
0.62,-5.5689197,0.55,106,0.83786196,0.076928414,0.08921052,10700.0,0.20155452,2140.0
0.66,-5.05713,0.75,107,0.8378718,0.07694217,0.08973334,10800.0,0.20158413,2160.0
0.63,-6.0104513,0.6,108,0.8378276,0.07696492,0.09023843,10900.0,0.20156041,2180.0
0.71,-5.9187956,0.5,109,0.83783,0.07700363,0.09056141,11000.0,0.20155895,2200.0
0.68,-5.3449173,0.7,110,0.8378776,0.07699109,0.090892516,11100.0,0.20158806,2220.0
0.71,-3.2116647,0.9,111,0.8379082,0.0770996,0.09132829,11200.0,0.20160565,2240.0
0.64,-2.314345,0.95,112,0.8379074,0.07710739,0.09193745,11300.0,0.20162758,2260.0
0.71,-2.8251777,0.8,113,0.83782387,0.07716235,0.09242364,11400.0,0.20166242,2280.0
